,Filename,NumAtoms,crest-hour,crest-min,crest-second,Hours,Minutes,Seconds,Time
23821,GBOFCVPWDBMYEW-VNUKXSOBSA-N,43,1,16,40,0,0,15.005999999999998,15.005999999999998
23822,GOZVPMMPDBVUKE-FOWTUZBSSA-N,30,0,15,41,0,0,6.1739999999999995,6.1739999999999995
23823,GDIIPKWHAQGCJF-UHFFFAOYSA-N,19,0,6,18,0,0,1.874,1.874
23824,GANGXBRARYTWTE-UHFFFAOYSA-N,28,0,10,58,0,0,6.01,6.01
23825,GZLXRYRWZNZBBP-UHFFFAOYSA-N,38,2,16,14,0,0,12.193,12.193
23826,GWGSGYOPKPVAPW-UHFFFAOYSA-N,22,0,9,28,0,0,3.283,3.283
23827,GHQGMVDZWGJSIO-NRFANRHFSA-N,45,0,44,18,0,0,20.939,20.939
23828,GFGFNMGHEGLRMI-ZDUSSCGKSA-N,36,1,5,19,0,0,10.617,10.617
23829,GAXBHJRLQDWEMD-UHFFFAOYSA-N,40,0,20,23,0,0,14.275,14.275
23830,GTSWSDCAOQCBEH-MDZDMXLPSA-P,42,7,12,44,0,0,9.744,9.744
23831,GYAICIYFNNMOPC-LEWJYISDSA-N,47,1,30,38,0,0,28.877,28.877
23832,GMNJBUMAMWWYDE-OAQYLSRUSA-N,41,2,22,21,0,0,15.595,15.595
23833,GOWRRBABHQUJMX-MRVPVSSYSA-N,30,0,15,46,0,0,5.091,5.091
23834,GADCRQVORPKEQP-UHFFFAOYSA-O,19,0,14,43,0,0,1.3,1.3
23835,GLXYKTASIIUSRC-UHFFFAOYSA-N,53,7,29,37,0,0,29.439,29.439
23836,GHGZVWOTJDLREY-UHFFFAOYSA-N,25,0,11,47,0,0,4.272,4.272
23837,GYJLHNRXLUVHJD-UHFFFAOYSA-N,32,0,15,14,0,0,8.198,8.198
23838,GBUGBGBKYKBTDK-AMGIVPHBSA-N,56,2,7,58,0,0,36.135,36.135
23839,GAKVIUPIYZMQBR-UHFFFAOYSA-N,27,0,39,12,0,0,5.846,5.846
23840,GJVXVZSXKWDXFP-UHFFFAOYSA-N,47,1,33,2,0,0,19.238,19.238
23841,GAUGFRRXGGVIAU-NUEKZKHPSA-N,48,2,13,58,0,0,19.308,19.308
23842,GXFNBTIODRQTLU-UHFFFAOYSA-O,44,0,49,4,0,0,18.486,18.486
23843,GCIJLRYWZXLFLV-UHFFFAOYSA-N,40,0,48,8,0,0,15.253,15.253
23844,GNRBXMKVTZTVBV-UHFFFAOYSA-N,31,0,56,56,0,0,6.666,6.666
