# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename,Ring,PiStack,HBond,NumRotors,NumMethyl,SG
1259,hexanenitrile,C6H11N,0.0,1.0,628-73-9,11846,12352.0,"InChI=1S/C6H11N/c1-2-3-4-5-6-7/h2-5H2,1H3",AILKHAQXUAOOFU-UHFFFAOYSA-N,-9.25,0.0,38.0,-10.38,405.08,0.0,38.0,379.89,3.0,hexanenitrile,0.0,0.0,0.0,3.0,1.0,0.0
1263,2-tert-butylsulfanyl-2-methylpropane,C8H18S,0.0,1.0,107-47-1,7584,7872.0,"InChI=1S/C8H18S/c1-7(2,3)9-8(4,5)6/h1-6H3",LNMBCRKRCIMQLW-UHFFFAOYSA-N,-188.5,0.0,22.0,-198.53,528.3,0.0,22.0,443.67,2.0,2-tert-butylsulfanyl-2-methylpropane,0.0,0.0,0.0,2.0,6.0,0.0
1264,2-ethoxy-2-methylpropane,C6H14O,0.0,1.0,637-92-3,11996,12512.0,"InChI=1S/C6H14O/c1-5-7-6(2,3)4/h5H2,1-4H3",NUMQCACRALPSHD-UHFFFAOYSA-N,-313.9,0.0,22.0,-320.71,406.3,0.0,22.0,393.99,2.0,2-ethoxy-2-methylpropane,0.0,0.0,0.0,2.0,4.0,0.0
1266,dodecan-1-ol,C12H26O,0.0,1.0,68551-07-5,7901,8193.0,"InChI=1S/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3",LQZZUXJYWNFBMV-UHFFFAOYSA-N,-439.6,0.0,22.0,-445.79,675.5,0.0,22.0,590.03,10.0,dodecan-1-ol,0.0,0.0,0.0,10.0,1.0,0.0
1267,hexadecane,C16H34,0.0,1.0,544-76-3,10540,11006.0,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",DCAYPVUWAIABOU-UHFFFAOYSA-N,-374.17,0.0,22.0,-381.46,781.02,0.0,22.0,689.91,13.0,hexadecane,0.0,0.0,0.0,13.0,2.0,0.0
1268,nitrocyclohexane,C6H11NO2,0.0,1.0,1122-60-7,13647,14285.0,"InChI=1S/C6H11NO2/c8-7(9)6-4-2-1-3-5-6/h6H,1-5H2",NJNQUTDUIPVROZ-UHFFFAOYSA-N,,,,-139.14,,,,386.79,0.0,nitrocyclohexane,3.0,0.0,0.0,1.0,0.0,0.0
1269,ethynylbenzene,C8H6,0.0,1.0,536-74-3,10364,10821.0,"InChI=1S/C8H6/c1-2-8-6-4-3-5-7-8/h1,3-7H",UEXCJVNBTNXOEH-UHFFFAOYSA-N,327.3,0.0,38.0,317.06,322.58,0.0,38.0,333.74,1.0,phenylacetylene,0.0,0.0,0.0,0.0,0.0,0.0
1270,1-phenylpropan-2-one,C9H10O,0.0,1.0,103-79-7,21106366,7678.0,"InChI=1S/C9H10O/c1-8(10)7-9-5-3-2-4-6-9/h2-6H,7H2,1H3",QCCDLTOVEPVEJK-UHFFFAOYSA-N,,,,-99.78,,,,407.95,2.0,1-phenylpropan-2-one,0.0,0.0,0.0,2.0,1.0,0.0
1271,1-phenylpropan-1-one,C9H10O,0.0,1.0,93-55-0,6881,7148.0,"InChI=1S/C9H10O/c1-2-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3",KRIOVPPHQSLHCZ-UHFFFAOYSA-N,,,,-102.43,,,,395.86,2.0,1-phenylpropan-1-one,0.0,0.0,0.0,2.0,1.0,0.0
1272,2-methylpropan-2-ol,C4H10O,0.0,1.0,75-65-0,6146,6386.0,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",DKGAVHZHDRPRBM-UHFFFAOYSA-N,-312.4,0.0,22.0,-313.41,326.3,0.0,22.0,324.48,0.0,2-methyl-2-propanol,0.0,0.0,0.0,0.0,3.0,0.0
1277,thiethane,C3H6S,0.0,1.0,287-27-4,8895,,InChI=1S/C3H6S/c1-2-4-3-1/h1-3H2,,60.6,0.0,22.0,61.12,285.14,0.0,22.0,286.35,0.0,thiethane,1.0,0.0,0.0,0.0,0.0,0.0
1278,ethyl prop-2-ynoate,C5H6O2,0.0,1.0,623-47-2,11682,12182.0,"InChI=1S/C5H6O2/c1-3-5(6)7-4-2/h1H,4H2,2H3",FMVJYQGSRWVMQV-UHFFFAOYSA-N,,,,-120.83,,,,363.63,2.0,ethyl-propiolate,0.0,0.0,0.0,2.0,1.0,0.0
1279,propane-1-thiol,C3H8S,0.0,1.0,107-03-9,7560,7848.0,"InChI=1S/C3H8S/c1-2-3-4/h4H,2-3H2,1H3",SUVIGLJNEAMWEG-UHFFFAOYSA-N,-67.5,0.0,22.0,-66.55,336.5,0.0,22.0,319.04,1.0,1-propanethiol-trans,0.0,0.0,0.0,1.0,1.0,0.0
1281,2-ethylphenol,C8H10O,0.0,1.0,90-00-6,13865680,6997.0,"InChI=1S/C8H10O/c1-2-7-5-3-4-6-8(7)9/h3-6,9H,2H2,1H3",IXQGCWUGDFDQMF-UHFFFAOYSA-N,-145.2,0.0,22.0,-145.05,392.38,0.0,22.0,371.77,1.0,2-ethylphenol,0.0,0.0,0.0,1.0,1.0,0.0
1282,(E)-3-phenylprop-2-enal,C9H8O,0.0,1.0,104-55-2,553117,637511.0,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,,,,21.93,,,,387.42,2.0,E-3-phenylprop-2-enal,0.0,0.0,0.0,2.0,0.0,0.0
1283,(Z)-3-phenylprop-2-enal,C9H8O,0.0,1.0,57194-69-1,4934372,6428995.0,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4-,KJPRLNWUNMBNBZ-DAXSKMNVSA-N,,,,37.99,,,,383.32,2.0,Z-3-phenylprop-2-enal,0.0,0.0,0.0,2.0,0.0,0.0
1285,"cyclohepta-1,3,5-triene",C7H8,0.0,1.0,544-25-2,10534,11000.0,"InChI=1S/C7H8/c1-2-4-6-7-5-3-1/h1-6H,7H2",CHVJITGCYZJHLR-UHFFFAOYSA-N,180.9,0.0,38.0,184.68,316.38,0.0,38.0,315.44,0.0,cyclohepta-135-triene,1.0,0.0,0.0,0.0,0.0,0.0
