Position,Orientation,Counts
2,1,490
2,0,636
1,0,281
3,0,271
3,1,164
4,1,123
4,0,157
5,0,86
13,1,9
12,1,21
11,1,58
13,0,38
14,1,24
11,0,26
10,0,23
10,1,6
12,0,18
5,1,23
6,1,7
9,1,2
6,0,4
8,0,4
9,0,2
8,1,1
