Position,Orientation,Counts
11,0,72
14,1,13
3,0,604
5,0,141
12,0,163
8,1,1
13,0,171
13,1,5
11,1,7
4,0,37
2,1,18
10,0,31
12,1,2
6,0,1
9,0,2
5,1,6
1,0,1
