# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename
564,germane,GeH4,0,1,7782-65-2,22420,23984,InChI=1S/GeH4/h1H4,QUZPNFFHZPRKJD-UHFFFAOYSA-N,90.8,0,22,71.61,217.12,0,22,217.4,0,germane
565,oxogermanium,GeO,0,1,20619-16-3,4886101,6327639,InChI=1S/GeO/c1-2,PVADDRMAFCOOPC-UHFFFAOYSA-N,-46.2,0,38,-46.26,224.22,0,38,223.94,0,germanium-oxide
566,selenoxogermanium,GeSe,0,1,,21170394,,InChI=1S/GeSe/c1-2,,,,,117.42,,,,247.89,0,germanium-selenide
567,sulfanylidenegermanium,GeS,0,1,12025-32-0,4897590,6367215,InChI=1S/GeS/c1-2,VDNSGQQAZRMTCI-UHFFFAOYSA-N,92,0,38,90.84,230.84,0,38,235.75,0,germanium-sulfide
568,azidogermane,GeH3N3,0,1,21138-22-7,17616645,16684251,InChI=1S/GeH3N3/c1-3-4-2/h1H3,UVIYNJLYLAZRBV-UHFFFAOYSA-N,,,,341.31,,,,316.38,0,germylazide
570,2-aminopentanedioic acid,C5H9NO4,0,1,56-86-0,591,611,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)",WHUUTDBJXJRKMK-UHFFFAOYSA-N,-824,0,38,-810.61,527.6,0,22,434.6,4,glutamic-acid
571,"(2S)-2,5-diamino-5-oxo-pentanoic acid",C5H10N2O3,0,1,56-85-9,5746,,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",,,,,-618.09,,,,444.93,4,glutamine
572,2-aminoacetic acid,C2H5NO2,0,1,17829-66-2,730,750,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",DHMQDGOQFOQNFH-UHFFFAOYSA-N,-392.1,0,22,-390.54,330,0,22,305.58,1,glycine
573,2-hydroxyacetaldehyde,C2H4O2,0,1,141-46-8,736,756,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",WGCNASOHLSPBMP-UHFFFAOYSA-N,-308.7,0,22,-304.56,,,,295.48,1,glycolaldehyde
574,oxaldehyde,C2H2O2,0,1,107-22-2,7572,7860,InChI=1S/C2H2O2/c3-1-2-4/h1-2H,LEQAOMBKQFMDFZ-UHFFFAOYSA-N,-212,0,22,-216.81,272.44,0,22,271.15,1,glyoxal-trans
575,guanidine,CH5N3,0,1,113-00-8,3400,3520,"InChI=1S/CH5N3/c2-1(3)4/h(H5,2,3,4)",ZRALSGWEFCBTJO-UHFFFAOYSA-N,,,,26.08,,,,279.92,0,guanidine
576,"2-amino-3,7-dihydropurin-6-one",C5H5N5O,0,1,73-40-5,744,764,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",UYTPUPDQBNUYGX-UHFFFAOYSA-N,,,,19.98,,,,367.1,0,guanine
580,"1,1,2,3,3,3-hexachloroprop-1-ene",C3Cl6,0,1,1888-71-7,15113,15902,"InChI=1S/C3Cl6/c4-1(2(5)6)3(7,8)9",VFDYKPARTDCDCU-UHFFFAOYSA-N,,,,-55.92,,,,433.03,0,hexachloropropene
581,hexane,C6H14,0,1,110-54-3,7767,8058,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",VLKZOEOYAKHREP-UHFFFAOYSA-N,-166.94,0,22,-167.72,388.74,0,22,370.02,3,hexane
582,hexanoic acid,C6H12O2,0,1,142-62-1,8552,8892,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",FUZZWVXGSFPDMH-UHFFFAOYSA-N,-511.9,0,22,-515.45,441,0,22,414.26,4,hexanoic-acid
583,(2S)-2-amino-3-(3H-imidazol-1-ium-4-yl)propanoic acid,C6H10N3O2+,1,1,,4450698,,"InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/p+1/t5-/m0/s1",,,,,269.8,,,,405.49,3,histidine-hdhe
585,hydrazine,H4N2,0,1,302-01-2,8960,9321,InChI=1S/H4N2/c1-2/h1-2H2,OAKJQQAXSVQMHS-UHFFFAOYSA-N,95.35,0,22,100.73,238.61,0,22,236.27,0,hydrazine
586,"1,2-triazadien-2-ium-1-ide",HN3,0,1,7782-79-8,22937,,InChI=1S/HN3/c1-3-2/h1H,,294.1,0,38,288.93,238.72,0,38,238.86,0,hydrazoic-acid
587,bromane,HBr,0,1,10035-10-6,255,,InChI=1S/BrH/h1H,,-36.29,0,22,-34.11,198.59,0,22,198.38,0,hydrogen-bromide
588,hydrogen carbonate,CHO3-,-1,1,71-52-3,749,769,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)/p-1",BVKZGUZCCUSVTD-UHFFFAOYSA-M,,,,-730.23,,,,266.24,0,hydrogen-carbonate
589,chlorane,HCl,0,1,7647-01-0,307,,InChI=1S/ClH/h1H,,-92.31,0,22,-90.42,186.79,0,22,186.58,0,hydrogen-chloride
590,formonitrile,CHN,0,1,74-90-8,748,768,InChI=1S/CHN/c1-2/h1H,LELOWRISYMNNSU-UHFFFAOYSA-N,131.8,4.18,24,128.14,201.43,0,38,200.96,0,hydrogen-cyanide
591,fluorane,HF,0,1,7664-39-3,14214,,InChI=1S/FH/h1H,,-273.3,0,22,-273.62,173.67,0,22,173.52,0,hydrogen-fluoride
593,methanidylidyneazanium,CHN,0,1,6914:7:5,4937885,6432654,InChI=1S/CHN/c1-2/h2H,QIUBLANJVAOHHY-UHFFFAOYSA-N,,,,190.7,,,,203.97,0,hydrogen-isocyanide
594,methaneselenol,CH4Se,0,1,60343-91-1,389633,,"InChI=1S/CH4Se/c1-2/h2H,1H3",,,,,22.69,,,,268.01,0,hydrogen-methyl-selenide
595,molecular hydrogen,H2,0,1,1333-74-0,762,783,InChI=1S/H2/h1H,UFHFLCQGNIYNRP-UHFFFAOYSA-N,0.06,0,22,-1.4,118.88,0,22,124.5,0,hydrogen
596,hydrogen peroxide,H2O2,0,1,7722-84-1,763,784,InChI=1S/H2O2/c1-2/h1-2H,MHAJPDPJQMAIIY-UHFFFAOYSA-N,-136.11,0,22,-132.6,232.88,0,22,227.3,0,hydrogen-peroxide
597,hydrogen phosphate,HO4P-2,-2,1,14066-19-4,2913859,3681305,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",NBIIXXVUZAFLBC-UHFFFAOYSA-L,,,,-911.11,,,,293.51,0,hydrogen-phosphate
598,hydrogen selenide,H2Se,0,1,7783:7:6,518,,InChI=1S/H2Se/h1H2,,29.7,0,22,32.86,218.91,0,22,219.17,0,hydrogen-selenide
599,hydrogen sulfate,HO4S-,-1,1,,55666,61778,"InChI=1S/HO4S/c1-5(2,3)4/h(H,1,2,3)",QAOWNCQODCNURD-UHFFFAOYSA-M,,,,-947.57,,,,303.8,0,hydrogen-sulfate
