# Alexandria ID,Compound,Formula,Charge,Multiplicity,CAS no.,ChemSpider ID,PubChem ID,StdInChI,InChIkey,DeltaHExp.,DeltaHError,DeltaHRef,DeltaHG4,S0Exp,S0Error,S0Ref,S0G4,Rotatable Bonds,Filename
1,3-(1-methylpyrrolidin-2-yl)pyridine,C10H14N2,0,1,54-11-5,917,942,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3",SNICXCGAKADSCV-UHFFFAOYSA-N,,,,131.48,,,,431.74,1,nicotine
2,2-acetyloxybenzoic acid,C9H8O4,0,1,50-78-2,2157,2244,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N,,,,-624.49,,,,450.47,3,aspirin
3,"1,10-dichlorodecane",C10H20Cl2,0,1,2162-98-3,67652,75101,InChI=1S/C10H20Cl2/c11-9-7-5-3-1-2-4-6-8-10-12/h1-10H2,RBBNTRDPSVZESY-UHFFFAOYSA-N,,,,-309.58,,,,562.09,9,110-dichlorodecane
4,"1,1,1,2-tetrafluoroethane",C2H2F4,0,1,811-97-2,12577,13129,"InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2",LVGUZGTVOIAKKC-UHFFFAOYSA-N,-895.79,0,22,-908.43,316.2,0,22,316.87,0,1112-tetrafluoroethane
5,"1,1,1,3,3,3-hexafluoropropan-2-ol",C3H2F6O,0,1,920-66-1,12941,13529,"InChI=1S/C3H2F6O/c4-2(5,6)1(10)3(7,8)9/h1,10H",BYEAHWXPCBROCE-UHFFFAOYSA-N,,,,-1543.86,,,,398.15,0,111333-hexafluoro-2-propanol
6,"1,1,1-trichloroethane",C2H3Cl3,0,1,71-55-6,6042,6278,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",UOCLXMDMGBRAIB-UHFFFAOYSA-N,-142.3,0,22,-147.25,320.1,0,22,329.35,0,111-trichloroethane
7,"1,1,1-trichloro-2,2,2-trifluoroethane",C2Cl3F3,0,1,354-58-5,9258,9635,"InChI=1S/C2Cl3F3/c3-1(4,5)2(6,7)8",BOSAWIQFTJIYIS-UHFFFAOYSA-N,-755.8,0,22,-754.66,370.69,0,22,377.15,0,111-trichlorotrifluoroethane
8,"1,1,1-trifluorodisilane",F3H3Si2,0,1,15195-26-3,10323465,,"InChI=1S/F3H3Si2/c1-5(2,3)4/h4H3",,,,,-1151.13,,,,349.89,0,111-trifluorodisilane
9,"1,1,1-trifluoroethane",C2H3F3,0,1,420-46-2,9484,9868,"InChI=1S/C2H3F3/c1-2(3,4)5/h1H3",UJPMYEOUBPIPHQ-UHFFFAOYSA-N,-736.4,0,22,-752.01,279.78,0,22,295.74,0,111-trifluoroethane
10,"1,1,2,2-tetrabromoethane",C2H2Br4,0,1,79-27-6,6339,6588,InChI=1S/C2H2Br4/c3-1(4)2(5)6/h1-2H,QXSZNDIIPUOQMB-UHFFFAOYSA-N,10.88,0,22,33.99,400.1,0,22,406.86,1,1122-tetrabromoethane
11,"1,1,2,2-tetrachloroethane",C2H2Cl4,0,1,79-34-5,6342,6591,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,QPFMBZIOSGYJDE-UHFFFAOYSA-N,-149.4,0,22,-158.27,362.71,0,22,360.66,1,1122-tetrachloroethane
12,"1,1,2-trichloro-1,2,2-trifluoroethane",C2Cl3F3,0,1,76-13-1,6188,6428,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8",AJDIZQLSFPQPEY-UHFFFAOYSA-N,-759.29,0,22,-725.88,386.8,0,22,377.72,1,112-trichloro-122-trifluoro-ethane
13,"1,1,2-trichloroethane",C2H3Cl3,0,1,79-00-5,6326,6574,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2",UBOXGVDOUJQMTN-UHFFFAOYSA-N,-142,0,22,-148.17,337.1,0,22,334.64,1,112-trichloroethane
14,"1,1,3,3-tetraethylurea",C9H20N2O,0,1,1187-03-7,13811,14465,"InChI=1S/C9H20N2O/c1-5-10(6-2)9(12)11(7-3)8-4/h5-8H2,1-4H3",UWHSPZZUAYSGTB-UHFFFAOYSA-N,-316.4,0,19,-312.19,,,,513.06,4,1133-tetraethylurea
15,"1,1-dichloro-2,2-difluoroethene",C2Cl2F2,0,1,79-35-6,21106435,6592,InChI=1S/C2Cl2F2/c3-1(4)2(5)6,QDGONURINHVBEW-UHFFFAOYSA-N,-336,0,38,-354.83,,,,325.95,0,11-dichloro-22-difluoroethene
16,"1,1-dichloro-2-fluoroprop-1-ene",C3H3Cl2F,0,1,430-95-5,454567,521133,InChI=1S/C3H3Cl2F/c1-2(6)3(4)5/h1H3,BJSMMNZAHNXJCF-UHFFFAOYSA-N,,,,-216.39,,,,346.58,0,11-dichloro-2-fluoropropene
17,"1,1-dichloroethane",C2H4Cl2,0,1,75-34-3,6125,6365,"InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3",SCYULBFZEHDVBN-UHFFFAOYSA-N,-129.41,0,22,-133.98,305.01,0,22,303.91,0,11-dichloroethane
18,"1,1-dichloroethene",C2H2Cl2,0,1,75-35-4,13835316,6366,InChI=1S/C2H2Cl2/c1-2(3)4/h1H2,LGXVIGDEPROXKC-UHFFFAOYSA-N,2.6,0,22,1.89,287.87,0,22,287.75,0,11-dichloroethene
20,"1,1-difluorocyclohexane",C6H10F2,0,1,371-90-4,144283,164586,InChI=1S/C6H10F2/c7-6(8)4-2-1-3-5-6/h1-5H2,ZORQXIQZAOLNGE-UHFFFAOYSA-N,,,,-571.92,,,,345.22,0,11-difluorocyclohexane
21,"1,1-difluoroethane",C2H4F2,0,1,75-37-6,6128,6368,"InChI=1S/C2H4F2/c1-2(3)4/h2H,1H3",NPNPZTNLOVBDOC-UHFFFAOYSA-N,-497,0,22,-502.71,282.4,0,22,281.33,0,11-difluoroethane
22,"1,1-difluoroethene",C2H2F2,0,1,75-38-7,13836545,6369,InChI=1S/C2H2F2/c1-2(3)4/h1H2,BQCIDUSAKPWEOX-UHFFFAOYSA-N,-328.96,0,22,-349.47,266.1,0,22,264.55,0,11-difluoroethene
23,"1,1-difluoroprop-1-ene",C3H4F2,0,1,430-63-7,454565,521131,"InChI=1S/C3H4F2/c1-2-3(4)5/h2H,1H3",YHLIEGBCOUQKHU-UHFFFAOYSA-N,,,,-375.56,,,,304.76,0,11-difluoropropene
24,(E)-difluorodiazene,F2N2,0,1,13776-62-0,4516471,5462838,InChI=1S/F2N2/c1-3-4-2/b4-3+,DUQAODNTUBJRGF-ONEGZZNKSA-N,81.17,0,38,75.85,262.66,0,38,261.02,0,E-difluorodiazene
25,(Z)-difluorodiazene,F2N2,0,1,13812-43-6,10326121,5364290,InChI=1S/F2N2/c1-3-4-2/b4-3-,DUQAODNTUBJRGF-ARJAWSKDSA-N,68.62,0,38,70.8,259.81,0,38,261.87,0,Z-difluorodiazene
26,oxygen monofluoride,FO,0,2,12061-70-0,4937269,,InChI=1S/FO/c1-2,,,,,111.38,,,,211.09,0,oxygen-monofluoride
27,fluoromethylidyne,CF,0,2,3889-75-6,,,InChI=1S/CF/c1-2,,,,,242.99,,,,207.2,0,fluoromethylidyne
28,"1,1-dimethylcyclopropane",C5H10,0,1,1630-94-0,66810,74202,"InChI=1S/C5H10/c1-5(2)3-4-5/h3-4H2,1-2H3",PBIJFSCPEFQXBB-UHFFFAOYSA-N,-8.2,0,38,-10.82,307.79,0,38,309.98,0,11-dimethylcyclopropane
29,"1,1-dimethylpyrrolidin-1-ium",C6H14N+,1,1,15312-12-6,173264,200182,"InChI=1S/C6H14N/c1-7(2)5-3-4-6-7/h3-6H2,1-2H3/q+1",GARJMFRQLMUUDD-UHFFFAOYSA-N,,,,528.64,,,,348.09,0,11-dimethylpyrrolidinium
30,"1,2,3,4-tetrafluorobenzene",C6H2F4,0,1,551-62-2,21106162,11084,InChI=1S/C6H2F4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H,SOZFIIXUNAKEJP-UHFFFAOYSA-N,-633.46,0,38,-635.65,,,,363.72,0,1234-tetrafluorobenzene
31,"1,2,3,4-tetrahydronaphthalene",C10H12,0,1,119-64-2,8097,8404,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",CXWXQJXEFPUFDZ-UHFFFAOYSA-N,26.61,0,22,21.28,369.64,0,22,364.08,0,1234-tetrahydronaphthalene
32,"1,2,3,4-tetramethylbenzene",C10H14,0,1,488-23-3,9844,10263,"InChI=1S/C10H14/c1-7-5-6-8(2)10(4)9(7)3/h5-6H,1-4H3",UOHMMEJUHBCKEE-UHFFFAOYSA-N,-33.05,0,22,-38.87,416.5,0,22,427.22,0,1234-tetramethylbenzene
33,"1,2,3,5-tetrafluorobenzene",C6H2F4,0,1,2367-82-0,21159625,16910,InChI=1S/C6H2F4/c7-3-1-4(8)6(10)5(9)2-3/h1-2H,UHHYOKRQTQBKSB-UHFFFAOYSA-N,-655.21,0,38,-650.43,,,,363.11,0,1235-tetrafluorobenzene
34,"penta-1,2,3-triene",C5H6,0,1,62018-46-6,,13593933,"InChI=1S/C5H6/c1-3-5-4-2/h4H,1H2,2H3",WWQAGDWTJOKFQB-UHFFFAOYSA-N,,,,289.41,,,,314.32,0,123-pentatriene
35,"propane-1,2,3-triol",C3H8O3,0,1,56-81-5,733,753,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",PEDCQBHIVMGVHV-UHFFFAOYSA-N,-577.9,0,22,-583.12,,,,330.99,2,123-propanetriol
36,"1,2,3-trichloropropane",C3H5Cl3,0,1,96-18-4,7013,7285,"InChI=1S/C3H5Cl3/c4-1-3(6)2-5/h3H,1-2H2",CFXQEHVMCRXUSD-UHFFFAOYSA-N,-182.9,0,22,-187.18,382.9,0,22,362.34,2,123-trichloropropane
37,"1,2,3-trimethylimidazol-1-ium",C6H11N2+,1,1,,3052183,3825986,"InChI=1S/C6H11N2/c1-6-7(2)4-5-8(6)3/h4-5H,1-3H3/q+1",KCUGPPHNMASOTE-UHFFFAOYSA-N,,,,606.92,,,,401.66,0,123-trimethyl-imidazolium
38,"1,2,4,5-tetrafluorobenzene",C6H2F4,0,1,327-54-8,21108549,9474,InChI=1S/C6H2F4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H,SDXUIOOHCIQXRP-UHFFFAOYSA-N,-648.1,0,38,-647.81,,,,363.09,0,1245-tetrafluorobenzene
39,"1,2,4-trichlorobenzene",C6H3Cl3,0,1,120-82-1,13862559,13,InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H,PBKONEOXTCPAFI-UHFFFAOYSA-N,-11.76,0,22,-2.61,380.91,0,22,377.51,0,124-trichlorobenzene
40,"1,2,4-trifluorobenzene",C6H3F3,0,1,367-23-7,21111799,67773,InChI=1S/C6H3F3/c7-4-1-2-5(8)6(9)3-4/h1-3H,PEBWOGPSYUIOBP-UHFFFAOYSA-N,-481.58,0,38,-477.91,,,,344.25,0,124-trifluorobenzene
41,"1,2,3,6-tetrahydropyridine",C5H9N,0,1,694-05-3,12226,12750,"InChI=1S/C5H9N/c1-2-4-6-5-3-1/h1-2,6H,3-5H2",FTAHXMZRJCZXDL-UHFFFAOYSA-N,,,,75.77,,,,307.74,0,1256-tetrahydropyridine
42,"1,2,5-thiadiazole",C2H2N2S,0,1,288-39-1,486419,559537,InChI=1S/C2H2N2S/c1-2-4-5-3-1/h1-2H,UDGKZGLPXCRRAM-UHFFFAOYSA-N,,,,192.22,,,,278.29,0,125-thiadiazole
43,"buta-1,2-diene",C4H6,0,1,590-19-2,11051,11535,"InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3",QNRMTGGDHLBXQZ-UHFFFAOYSA-N,162.3,0,22,161.74,293,0,22,289.34,0,12-butadiene
44,"buta-1,3-diene",C4H6,0,1,106-99-0,7557,7845,"InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2",KAKZBPTYRLMSJV-UHFFFAOYSA-N,109.24,0,22,110.82,278.89,0,22,276.31,1,buta-13-diene
45,"1,2-dibromobenzene",C6H4Br2,0,1,583-53-9,13875212,11414,InChI=1S/C6H4Br2/c7-5-3-1-2-4-6(5)8/h1-4H,WQONPSCCEXUXTQ-UHFFFAOYSA-N,127.19,0,38,125.26,371.49,8,38,370.74,0,12-dibromobenzene
46,"1,2-dibromoethane",C2H4Br2,0,1,106-93-4,7551,7839,InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2,PAAZPARNPHGIKF-UHFFFAOYSA-N,-38.9,0,22,-40.27,329.7,0,22,324.78,1,12-dibromoethane
47,"1,2-dibromopropane",C3H6Br2,0,1,78-75-1,6305,6553,"InChI=1S/C3H6Br2/c1-3(5)2-4/h3H,2H2,1H3",XFNJYAKDBJUJAJ-UHFFFAOYSA-N,-71.55,1.26,27,-75.83,376.53,0,38,357.31,1,12-dibromopropane
48,"1,2-dichloro-1,1,2,2-tetrafluoroethane",C2Cl2F4,0,1,1320-37-2,13853215,6429,"InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8",DDMOUSALMHHKOS-UHFFFAOYSA-N,-916.3,0,22,-922.83,364.1,0,22,368.42,1,12-dichloro-1122-tetrafluoroethane
49,"1,2-dichlorobenzene",C6H4Cl2,0,1,95-50-1,13837988,7239,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,RFFLAFLAYFXFSW-UHFFFAOYSA-N,30.2,0,22,25.58,341.85,0,22,347.59,0,12-dichlorobenzene
50,"1,2-dichloroethane",C2H4Cl2,0,1,107-06-2,13837650,11,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,WSLDOOZREJYCGB-UHFFFAOYSA-N,-129.79,0,22,-132.26,308.28,0,22,301.54,1,12-dichloroethane
51,"1,2-difluoropropane",C3H6F2,0,1,62126-90-3,10606183,18960304,"InChI=1S/C3H6F2/c1-3(5)2-4/h3H,2H2,1H3",OFHQVNFSKOBBGG-UHFFFAOYSA-N,-553.28,0,38,-488.48,324.75,7,38,314.4,1,12-difluoropropane
52,"1,2-dichloropropane",C3H6Cl2,0,1,78-87-5,6316,6564,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3",KNKRKFALVUDBJE-UHFFFAOYSA-N,-162.8,0,22,-168.91,354.8,0,22,334.02,1,12-dichloropropane
53,"1,2-difluorobenzene",C6H4F2,0,1,367-11-3,9325,9706,InChI=1S/C6H4F2/c7-5-3-1-2-4-6(5)8/h1-4H,GOYDNIKZWGIXJT-UHFFFAOYSA-N,-294.5,0,38,-290.07,320.83,0,38,325.92,0,12-difluorobenzene
54,"1,2-difluoroethane",C2H4F2,0,1,624-72-6,11722,12223,InChI=1S/C2H4F2/c3-1-2-4/h1-2H2,AHFMSNDOYCFEPH-UHFFFAOYSA-N,-447.7,0,22,-444.36,288.19,0,22,286.65,1,12-difluoroethane-trans
55,"1,2-dimethoxybenzene",C8H10O2,0,1,91-16-7,13861009,7043,"InChI=1S/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3",ABDKAPXRBAPSQN-UHFFFAOYSA-N,-223.3,0,19,-208.89,,,,399.76,2,12-dimethoxybenzene
56,"1,2-dimethoxyethane",C4H10O2,0,1,110-71-4,13836589,8071,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3",XTHFKEDIFFGKHM-UHFFFAOYSA-N,-346,0,22,-347.55,385,0,22,364.19,3,12-dimethoxyethane
57,2-ethyloxirane,C4H8O,0,1,26249-20-7,7546,7834,"InChI=1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3",RBACIKXCRWGCBB-UHFFFAOYSA-N,-115.4,0,22,-116.84,322,0,22,311.23,1,12-epoxybutane
58,"ethane-1,2-dithiol",C2H6S2,0,1,540-63-6,13865015,10902,"InChI=1S/C2H6S2/c3-1-2-4/h3-4H,1-2H2",VYMPLPIFKRHAAC-UHFFFAOYSA-N,-9.7,0,19,-13.32,,,,316.45,1,12-ethanedithiol
59,1-(2-methoxyethyl)-3-methyl-imidazol-3-ium,C7H13N2O+,1,1,,8010140,,"InChI=1S/C7H13N2O/c1-8-3-4-9(7-8)5-6-10-2/h3-4,7H,5-6H2,1-2H3/q+1",,,,,501.08,,,,440.58,3,12-metoxy-ethyl-3-methyl-imidazolium
60,"propa-1,2-diene",C3H4,0,1,463-49-0,9642,10037,InChI=1S/C3H4/c1-3-2/h1-2H2,IYABWNGZIDDRAK-UHFFFAOYSA-N,190.5,0,22,188.77,243.9,0,22,242.1,0,12-propadiene
61,"1,3,5-trifluorobenzene",C6H3F3,0,1,372-38-3,21111798,9745,InChI=1S/C6H3F3/c7-4-1-5(8)3-6(9)2-4/h1-3H,JXUKFFRPLNTYIV-UHFFFAOYSA-N,-503.34,0,38,-495.58,,,,334.5,0,135-trifluorobenzene
62,"1,3,5-trioxane",C3H6O3,0,1,110-88-3,7790,8081,InChI=1S/C3H6O3/c1-4-2-6-3-5-1/h1-3H2,BGJSXRVXTHVRSN-UHFFFAOYSA-N,-465.9,0,22,-471.08,284.9,0,22,288.45,0,135-trioxane
63,"1,2,4-trioxane",C3H6O3,0,1,7049-17-4,10629025,21584057,InChI=1S/C3H6O3/c1-2-5-6-3-4-1/h1-3H2,FQERLIOIVXPZKH-UHFFFAOYSA-N,,,,-226.42,,,,306.17,0,124-trioxane
64,"cyclohepta-1,3-diene",C7H10,0,1,4054-38-0,18810,19969,"InChI=1S/C7H10/c1-2-4-6-7-5-3-1/h1-4H,5-7H2",GWYPDXLJACEENP-UHFFFAOYSA-N,,,,96.48,,,,333.7,0,13-cycloheptadiene
65,"cyclopenta-1,3-diene",C5H6,0,1,542-92-7,7330,7612,"InChI=1S/C5H6/c1-2-4-5-3-1/h1-4H,5H2",ZSWFCLXCOIISFI-UHFFFAOYSA-N,130.8,0,22,135.18,274.15,0,22,279,0,13-cyclopentadiene
66,"1,3-dichlorobenzene",C6H4Cl2,0,1,541-73-1,13857694,10943,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H,ZPQOPVIELGIULI-UHFFFAOYSA-N,25.7,0,22,19.49,343.53,0,22,348.87,0,13-dichlorobenzene
67,"1,3-dichloropropane",C3H6Cl2,0,1,142-28-9,8543,8881,InChI=1S/C3H6Cl2/c4-2-1-3-5/h1-3H2,YHRUOJUYPBUZOS-UHFFFAOYSA-N,-159.2,0,22,-152.47,367.6,0,22,340.4,2,13-dichloropropane
68,"1,3-difluorobenzene",C6H4F2,0,1,372-18-9,21111806,9741,InChI=1S/C6H4F2/c7-5-2-1-3-6(8)4-5/h1-4H,UEMGWPRHOOEKTA-UHFFFAOYSA-N,-309.2,0.84,24,-305.94,320.16,0,38,325.45,0,13-difluorobenzene
70,"1,3-dibromobenzene",C6H4Br2,0,1,108-36-1,13875356,7927,InChI=1S/C6H4Br2/c7-5-2-1-3-6(8)4-5/h1-4H,JSRLURSZEMLAFO-UHFFFAOYSA-N,125.52,0,22,119.17,366.9,0,22,372.43,0,13-dibromobenzene
71,"1,3-dioxane",C4H8O2,0,1,505-22-6,10018,10450,InChI=1S/C4H8O2/c1-2-5-4-6-3-1/h1-4H2,VDFVNEFVBPFDSB-UHFFFAOYSA-N,-342.3,0,22,-340.62,303.08,0,22,303.46,0,13-dioxane
72,"1,3-dioxolane",C3H6O2,0,1,646-06-0,12066,12586,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,WNXJIVFYUVYPPR-UHFFFAOYSA-N,-298,0,19,-298.03,,,,295.42,0,13-dioxolane
73,"1,3-dithiane",C4H8S2,0,1,505-23-7,10019,10451,InChI=1S/C4H8S2/c1-2-5-4-6-3-1/h1-4H2,WQADWIOXOXRPLN-UHFFFAOYSA-N,-10,0,19,17.78,333.5,0,19,340.43,0,13-dithiane
74,"1,3-oxazole",C3H3NO,0,1,288-42-6,8898,9255,InChI=1S/C3H3NO/c1-2-5-3-4-1/h1-3H,ZCQWOFVYLHDMMC-UHFFFAOYSA-N,-15.52,0,22,-16.71,270.73,0,22,269.81,0,13-oxazole
75,"penta-1,3-diyne",C5H4,0,1,4911-55-1,122008,138385,"InChI=1S/C5H4/c1-3-5-4-2/h1H,2H3",VNMDYSSJFJFEQI-UHFFFAOYSA-N,,,,413.06,,,,303.22,1,13-pentadiyne
76,"propane-1,3-diol",C3H8O2,0,1,504-63-2,13839553,10442,"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2",YPFDHNVEDLHUCE-UHFFFAOYSA-N,-408,0,22,-399.71,357.5,0,22,329.41,2,propane-13-diol
77,"butane-1,4-diol",C4H10O2,0,1,110-63-4,13835209,8064,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2",WERYXYBDKMZEQL-UHFFFAOYSA-N,-426.7,0,22,-424.87,381,0,22,357.77,3,14-butanediol
78,"1,4-dichlorobutane",C4H8Cl2,0,1,110-56-5,21106032,8059,InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2,KJDRSWPQXHESDQ-UHFFFAOYSA-N,-179,0,22,-177.9,389,0,22,372.15,3,14-dichlorobutane
79,"1,4-dioxine",C4H4O2,0,1,290-67-5,71301,78968,InChI=1S/C4H4O2/c1-2-6-4-3-5-1/h1-4H,KVGZZAHHUNAVKZ-UHFFFAOYSA-N,,,,-83.76,,,,301.24,0,14-dioxin
80,"1,4-dioxane",C4H8O2,0,1,123-91-1,29015,31275,InChI=1S/C4H8O2/c1-2-6-4-3-5-1/h1-4H2,RYHBNJHYFVUHQT-UHFFFAOYSA-N,-315.8,0,22,-290.89,300.12,0,22,309.23,0,14-dioxane
81,"1,4-oxathiane",C4H8OS,0,1,15980-15-1,25685,27596,InChI=1S/C4H8OS/c1-3-6-4-2-5-1/h1-4H2,JBYHSSAVUBIJMK-UHFFFAOYSA-N,,,,-139.24,,,,327.69,0,14-oxathiane
82,"pentane-1,5-diol",C5H12O2,0,1,111-29-5,13839441,8105,"InChI=1S/C5H12O2/c6-4-2-1-3-5-7/h6-7H,1-5H2",ALQSHHUCVQOPAS-UHFFFAOYSA-N,-449.1,0,22,-441.87,433,0,22,392.52,4,15-pentanediol
83,(2R)-1-aminopropan-2-ol,C3H9NO,0,1,2799-16-8,388968,439938,"InChI=1S/C3H9NO/c1-3(5)2-4/h3,5H,2,4H2,1H3/t3-/m1/s1",HXKKHQJGJAFBHI-GSVOUGTGSA-N,-239,0,22,-238.58,365,0,22,323.73,1,1-amino-2-propanol
84,1-bromo-2-chloroethane,C2H4BrCl,0,1,107-04-0,13854130,7849,InChI=1S/C2H4BrCl/c3-1-2-4/h1-2H2,IBYHHJPAARCAIE-UHFFFAOYSA-N,,,,-86.15,,,,318.82,1,1-bromo-2-chloroethane-trans
85,1-bromobutane,C4H9Br,0,1,109-65-9,7711,8002,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",MPPPKRYCTPRNTB-UHFFFAOYSA-N,-109.7,0,22,-106.34,379,0,22,350.84,2,1-bromobutane
86,1-bromodecane,C10H21Br,0,1,112-29-8,7881,8173,"InChI=1S/C10H21Br/c1-2-3-4-5-6-7-8-9-10-11/h2-10H2,1H3",MYMSJFSOOQERIO-UHFFFAOYSA-N,-223.4,0,38,-235.04,596.57,12,38,542.49,8,1-bromodecane
87,1-bromoheptane,C7H15Br,0,1,629-04-9,11863,12369,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3",LSXKDWGTSHCFPP-UHFFFAOYSA-N,-167.2,0,22,-170.82,496.4,0,22,446.66,5,1-bromoheptane
88,1-bromonaphthalene,C10H7Br,0,1,90-11-9,6735,7001,InChI=1S/C10H7Br/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,DLKQHBOKULLWDQ-UHFFFAOYSA-N,182,0,22,160.78,386,0,22,384.05,0,1-bromonaphthalene
89,1-bromopentane,C5H11Br,0,1,110-53-2,7766,8057,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3",YZWKKMVJZFACSU-UHFFFAOYSA-N,-129.16,0,38,-127.89,409.56,0,38,382.36,3,1-bromopentane
90,1-bromopropane,C3H7Br,0,1,106-94-5,7552,7840,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3",CYNYIHKIEHGYOZ-UHFFFAOYSA-N,-88.7,0,22,-84.99,330.87,0,22,318.78,1,1-bromopropane
91,butane-1-thiol,C4H10S,0,1,109-79-5,7721,8012,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3",WQAQPCDUOCURKW-UHFFFAOYSA-N,-87.8,0,22,-87.94,375.2,0,22,350.3,2,1-butanethiol
92,butan-1-ol,C4H10O,0,1,71-36-3,258,263,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",LRHPLDYGYMQRHN-UHFFFAOYSA-N,-275.1,0,22,-274.78,361.8,0,22,334.92,2,1-butanol
93,but-1-en-3-yne,C4H4,0,1,689-97-4,12197,12720,"InChI=1S/C4H4/c1-3-4-2/h1,4H,2H2",WFYPICNXBKQZGB-UHFFFAOYSA-N,304.6,0,38,288.71,279.62,0,38,277.31,0,1-buten-3-yne
94,but-1-ene,C4H8,0,1,106-98-9,7556,7844,"InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3",VXNZUUAINFGPBY-UHFFFAOYSA-N,-0.5,0,22,0.53,307.4,0,22,296.82,1,1-butene
95,1-butyl-3-methylimidazol-3-ium,C8H15N2+,1,1,79917-90-1,2015918,2734162,"InChI=1S/C8H15N2/c1-3-4-5-10-7-6-9(2)8-10/h6-8H,3-5H2,1-2H3/q+1",IQQRAVYLUAZUGX-UHFFFAOYSA-N,,,,581.27,,,,442.62,3,1-butyl-3-methylimidazolium
96,but-1-yne,C4H6,0,1,107-00-6,7558,7846,"InChI=1S/C4H6/c1-3-4-2/h1H,4H2,2H3",KDKYADYSIPSCCQ-UHFFFAOYSA-N,165.2,0,38,166.69,290.23,0,38,289.44,0,1-butyne
97,"1-chloro-1,1-difluoroethane",C2H3ClF2,0,1,75-68-3,6148,6388,"InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3",BHNZEZWIUMJCGF-UHFFFAOYSA-N,-529.7,0,22,-535.81,307.2,0,22,307.79,0,1-chloro-11-difluoroethane
98,1-chloro-1-fluoroethane,C2H4ClF,0,1,1615-75-4,14632,15373,"InChI=1S/C2H4ClF/c1-2(3)4/h2H,1H3",YACLCMMBHTUQON-UHFFFAOYSA-N,-313.8,0,38,-309.86,300.63,0,38,293.1,0,1-chloro-1-fluoroethane
99,1-chloro-2-methylpropane,C4H9Cl,0,1,513-36-0,10114,10554,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",QTBFPMKWQKYFLR-UHFFFAOYSA-N,-161.5,0,22,-161.72,343.74,0,22,333.72,1,1-chloro-2-methylpropane
100,1-chloro-2-nitrobenzene,C6H4ClNO2,0,1,25167-93-5,13853953,6945,InChI=1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,BFCFYVKQTRLZHA-UHFFFAOYSA-N,37.2,0,22,52.49,370.83,0,22,378.29,0,1-chloro-2-nitrobenzene
101,1-chloro-3-methylbutane,C5H11Cl,0,1,107-84-6,7605,7893,"InChI=1S/C5H11Cl/c1-5(2)3-4-6/h5H,3-4H2,1-2H3",CZHLPWNZCJEPJB-UHFFFAOYSA-N,-180.33,0,38,-182.03,400.65,0,38,365.75,2,1-chloro-3-methylbutane
