Receptor,PathFeatures
3.0,"['756333110110', '565333102101', '658334022011']"
1.0,"['7167444000000', '1676444000000', '766443000000', '667433000000', '676334000000', '766343000000', '668433000000']"
1.0,"['766334000000', '667344000000', '6716444000000', '7167444000000', '1676444000000', '766443000000', '667433000000', '676334000000', '766343000000', '668433000000']"
1.0,"['766344000000', '666444000000', '666443000000', '668433000000']"
4.0,"['766333110110', '666333102101', '666334022012', '667343223122']"
1.0,"['866444011011', '667443111111', '676433110110', '768333100100']"
1.0,"['766344000000', '666444000000', '667443000000', '676433000000', '768333000000']"
3.0,"['866444001002', '666444011021', '668444111211']"
1.0,"['866444011011', '666444110110', '668444100100', '6815444000000', '8158444000000', '15815444000000', '8158444000000', '1586444000000', '866444002001', '668444022011', '686444222111', '867443223111', '676433233111', '766333333111', '666333330110', '668333300100']"
1.0,"['766334000000', '666344000000', '668444000000', '687443000000', '876433000000', '768333000000']"
4.0,"['866444011011', '666443111112', '666433111122', '666334111221', '667344111211']"
1.0,"['766333001001', '666333011011', '666333110110', '668333100100']"
3.0,"['866333011022', '666334111221', '666343111212', '666433111122', '668333110220']"
2.0,"['866444001001', '666444010010', '668444100100']"
0.0,"['776333001001', '766333011011', '668333110110']"
1.0,"['8156444000000', '1566443000000', '668433000000']"
5.0,"['866333011011', '666334110110', '667344100100']"
0.0,"['766333011012', '666333112121', '668333120210']"
3.0,"['866444011011', '666444111111', '668444110110']"
0.0,"['766334111111', '667343111111', '676433111111', '768333110110']"
0.0,"['766334111112', '667343111122', '676433111222', '766334111223', '667343111233', '676433111332', '768333110320']"
0.0,"['766344111221', '666444111211', '666443111111', '668433110110']"
1.0,"['766333112121', '666333120210', '668333200100']"
3.0,"['866444000000', '666444001001', '668444011011']"
2.0,"['866444000000', '666444000000', '668444000000']"
3.0,"['866444011022', '666444111221', '668443110210']"
2.0,"['866443011011', '666434111112', '668344110120']"
5.0,"['866334011011', '6616344110110', '6166444100100', '1666444000000', '667444000000']"
0.0,"['866444001001', '666443011011', '668433110110']"
1.0,"['767333000000', '676334000000', '766343000000', '668433000000']"
3.0,"['766334000000', '667343000000', '676434000000', '766344001001', '668444011011']"
