Receptor,PathFeatures
3.0,"['866444000000', '666444000000', '668444000000', '686444001001', '868444011011']"
3.0,"['766334000000', '667343000000', '676433000000', '766334001001', '666344011012', '668444112121']"
5.0,"['868333011011', '686334111112', '866343112121', '666434120210', '667344200100', '676444000000', '766444000000', '667444000000']"
3.0,"['866444011021', '666444111211', '668444110110', '686444102101', '868444022011']"
2.0,"['866333011011', '666333111111', '666333111111', '666334112111', '668343122111', '686433222112', '866333223121', '666334234211', '666343344112', '666433445121', '666333455211', '666333555111', '668333550110', '686334506101', '868344066011', '686444666111', '866444660110', '668444600100']"
2.0,"['866444011011', '668444110110', '686444102101', '866444020010', '668444200100']"
1.0,"['766344011011', '668444110110', '686444100100', '866443000000', '668433000000']"
1.0,"['766344001001', '666444011011', '666444111111', '666444111111', '666443110110', '668433100100', '686333002001', '866333022012', '666333223121', '666333233211', '666334330110', '666343300100', '668433000000']"
4.0,"['766334001001', '666344011011', '666444111111', '667444111111']"
1.0,"['766444000000', '667444001001', '676444011011', '766444111111', '666444111111', '666443110110', '667433100100', '676334000000', '766343000000', '668433000000']"
1.0,"['866444011011', '668444110110', '686444100100', '866444002001', '668444022011', '686444222111', '868443220110', '686433203101', '866333033012', '666334334121', '667343344211', '676433440110', '768333400100']"
3.0,"['866444011011', '666444110110', '668444100100', '686444002001', '868444022011']"
3.0,"['866333011011', '666333111111', '666333111111', '666334110110', '666344100100', '667443000000', '676433000000', '766334000000', '666344000000', '666443000000', '668433000000', '686334002001', '868344022011', '686444222113', '866444222134', '668444223342']"
0.0,"['866333011011', '666333111111', '666333110110', '668333100100', '686334000000', '866344002001', '668444022011', '686444222111', '868444220110', '686444200100', '866443000000', '666433000000', '666334003001', '666343033011', '666433333111', '666333333111', '668333330110']"
2.0,"['866333011012', '668333112121', '686333122212', '866333223121', '668333230210', '686333304101', '866333044011', '666333444111', '666333444111', '668333440110', '686333405101', '866333055011', '666333555111', '668333550110']"
2.0,"['866333011011', '666333111111', '668333110110', '686333102101', '866333022012', '666333222122', '668333223221', '686333233212', '866333334121', '666333344211', '668333440110', '686333405101', '866333055011', '666333555111', '666333555111', '668333550110', '686333506101', '866333066012', '666333666122', '668333667221', '686333677212', '866333778121', '666333788211', '668333880110']"
3.0,"['866444000000', '666444000000', '666443000000', '666434000000', '666344001001', '666444011011', '668443110110']"
3.0,"['866444001001', '668444011011', '686444111111', '868444110110', '686444102101', '866443022012', '666433222122', '666334222221', '666343223211', '666433233111', '666333333111', '668333330110']"
3.0,"['866444011022', '668444112221', '686444122212', '868443223121']"
2.0,"['866444011011', '666444111111', '666444111111', '666444110110', '668444100100', '686444002001', '868444022011', '686444222111', '866444220110', '668444200100']"
3.0,"['766344011011', '666444111111', '668443110110']"
2.0,"['866444011014', '666444111143', '668444110430']"
2.0,"['866444001001', '668444011011', '686444111111', '866444110110', '666444100100', '668444000000']"
0.0,"['866444000000', '666444000000', '666444000000', '666443001002', '666433011023', '666333112231', '668333120310']"
0.0,"['866444000000', '667444000000', '676444000000', '766444001001', '666443011011', '668433110110']"
0.0,"['866444001001', '668444011011', '686444111111', '868444110110', '686444102101', '866444022011', '666444222112', '666444222123', '666444223232', '666444233322', '666443334221', '668433340210']"
2.0,"['866444011011', '668444110110', '686444102101', '866444022014', '666444223143', '666444233431', '668444330310']"
3.0,"['866444011013', '666444112134', '666444122341', '668444220410']"
5.0,"['866443011012', '666434112122', '666344122221', '666444222211', '666444220110', '667444200100']"
1.0,"['866444001001', '668444011011', '686444111111', '868443110110', '686433102101', '866333022011', '666334220110', '666344200100', '666443000000', '668433000000']"
4.0,"['866444011011', '666444111112', '666444112121', '666444122211', '666444222112', '666444223122', '666444233222', '666444333221', '666444330210', '666444300100', '666444000000', '666443000000', '667433000000', '676333004001', '766333044011', '667333444111']"
1.0,"['866444001001', '668444011011', '686444111111', '868444110110', '686444102101', '866444022012', '666444223122', '666444230220', '668443300200', '686433000000', '868333000000']"
1.0,"['866333011011', '666333111111', '666333110110', '666333100100', '666333000000', '668333000000', '686333000000', '866334002001', '666344022011', '666444222111', '668443220110', '686433200100', '868333000000']"
1.0,"['766343000000', '667433000000', '676334000000', '766344000000', '666444000000', '666444000000', '666444000000', '666443000000', '668433000000']"
2.0,"['866333011011', '666333111112', '666334112121', '666343122211', '666433222111', '666334222113', '666344223132', '666444230320', '666444300200', '668444000000']"
0.0,"['766343111111', '667433111111', '676334111111', '766344111111', '667443111111', '676433111111', '766333111111', '668333110110']"
3.0,"['866443001001', '666433011011', '666333111111', '666334110110', '666343102101', '666433022011', '668333220110', '686334203101', '868344033011']"
2.0,"['766444112122', '666444122222', '666444223221', '668444230210']"
4.0,"['866444011012', '666444112122', '666444123221', '667443233211']"
1.0,"['866444001001', '668444011011', '686444111111', '868444110110', '686444100100', '866443000000', '666433002001', '666334022011', '666344222111', '666444220110', '666443200100', '666433000000', '668333000000', '686333000000', '868333000000']"
2.0,"['866443011011', '666433110110', '666334100100', '668344000000', '686444002001', '868444022011', '686444222111', '866444220110', '668444200100']"
4.0,"['766334001001', '666344011012', '667444111122']"
2.0,"['866444011024', '666444111242', '668444110420']"
1.0,"['766334112121', '666344120210', '666444203101', '666443033011', '666433330110', '668333300100']"
4.0,"['866444011011', '666444111111', '668444110110', '686444102101', '866444022011', '666444222111', '666444220110', '666444203101', '667444033011']"
0.0,"['766344000000', '666444000000', '667443001001', '676433011011', '768333110110']"
1.0,"['866333011011', '666334112111', '666344122111', '668444220110', '686444203101', '868444033011', '686444333111', '866444330110', '668443300100', '686433000000', '868333000000']"
3.0,"['866444011011', '666444111112', '666443112121', '668433122211']"
2.0,"['866444011011', '666444111112', '666443112121', '668433122211', '686334222112', '866344223121', '668444230210']"
1.0,"['866444011011', '668444111111', '686444111111', '868444110110', '686444100100', '866444002001', '668444022011', '686444222111', '868444220110', '686444203101', '866444033012', '666444333122', '666443333221', '666433330210', '668333300100']"
1.0,"['866444011023', '667443112231', '676433120310', '768333200100']"
3.0,"['866444000000', '666443000000', '666433000000', '666333000000', '666333000000', '666333000000', '668333000000', '686334001001', '866344011011', '666444110110', '666444100100', '666444000000', '666444000000', '666444002001', '668444022011']"
1.0,"['866444011011', '668444111111', '686444111111', '868444110110', '686444102101', '866444022011', '668444220110', '686444203101', '866444033012', '666444333122', '666443333221', '666433330210', '668333300100']"
2.0,"['866333011011', '666333111111', '666333111111', '666333110110', '666333102101', '666333022011', '666333222111', '668333220110', '686334203101', '868344033011', '686444333111', '866444330110', '668444300100']"
2.0,"['866333011011', '666333111111', '666333111111', '666334110110', '666344100100', '668443000000', '686433002001', '866333022011', '666333222111', '666334220110', '666344200100', '666443000000', '666433000000', '666333000000', '666334000000', '666344000000', '666444000000', '666444000000', '666444000000', '666444000000', '668444000000']"
1.0,"['866444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666443000000', '666433000000', '666333000000', '668333000000']"
1.0,"['866444011011', '666444111111', '668444110110', '686444100100', '866444002001', '668444022011', '686444222111', '868443220110', '686433203101', '866333033011', '666333333111', '666333333111', '666333330110', '668333300100']"
3.0,"['766334001001', '666344011012', '667443111121', '676434110210', '766344102101', '668444022011']"
1.0,"['866333011012', '666333112121', '666333122211', '668333220110', '686334203101', '868344033011', '686444333111', '866444330110', '668443300100', '686433000000', '868333000000']"
2.0,"['866333011011', '666334111111', '666343112111', '666433122111', '668333220110', '686334203101', '866344033011', '666444333111', '668444330110']"
2.0,"['866333011011', '666333111111', '666333111111', '666333110110', '666333100100', '666333000000', '668333000000', '686334000000', '866344002001', '668444022011', '686444222111', '868443220110', '686433203101', '866333033011', '666334334111', '666343344111', '666433444111', '668333440110']"
3.0,"['866333011011', '666334112111', '668344122111', '686444222111', '866444220110', '668444200100', '686444003001', '868444033011']"
1.0,"['766343000000', '667433000000', '676334001001', '766343010010', '667433100100', '676334000000', '766343000000', '667433000000', '676334000000', '766343000000', '668433000000']"
1.0,"['767333000000', '676333001001', '766333011011', '666333110110', '666333100100', '666334002001', '666343022011', '666433220110', '668333200100']"
0.0,"['866444011011', '666444111111', '668444110110', '686444102101', '866443022011', '666433222111', '666334222112', '666344223121', '666444233212', '668443334121', '686433344211', '868333440110']"
3.0,"['766334111111', '666344111111', '666444110110', '666444100100', '666444000000', '666443000000', '666433000000', '666333000000', '666333000000', '666333000000', '666334000000', '666344000000', '666444000000', '668444000000']"
2.0,"['866333011011', '666333111111', '666333112111', '666333122111', '666333222111', '666334220110', '666344200100', '666443000000', '666434003003', '666344033032', '666444333321', '666444330210', '668444300100']"
2.0,"['866333011012', '666334112121', '666344122212', '666444223121', '668444230210']"
0.0,"['866444011022', '666444111222', '666443111222', '668433110220']"
2.0,"['766333111111', '666334110110', '666344100100', '666444002001', '666444022011', '668443220110', '686433200100', '866333000000', '666334000000', '668344000000']"
2.0,"['767333011011', '676333111111', '766333111111', '666334110110', '666344100100', '666444002001', '666444022011', '668443220110', '686433200100', '866333000000', '666334000000', '668344000000']"
2.0,"['866444000000', '666444001001', '668443011011', '686433111112', '866333112121', '666333123211', '666333233111', '666333333111', '668333330110']"
3.0,"['866444001001', '668444011011', '686444111111', '868443110110', '686433102101', '866333022011', '666333222112', '668333223121', '686334233211', '866343334111', '666433344111', '666333444111', '668333440110']"
2.0,"['866443001001', '668433011011', '686333111112', '866333112122', '666334122222', '666344223221', '666444230210', '668444300100']"
2.0,"['866444011012', '666444112121', '666444120210', '668444200100', '686444003001', '866444033011', '666444333111', '668444330110']"
2.0,"['866444011011', '666444111111', '668444110110', '686444100100', '866444002001', '666444022011', '666444222111', '668444220110']"
2.0,"['866444000000', '666444000000', '666444000000', '668444000000', '686444001001', '868444011011', '686444111111', '866444110110', '668444100100', '686444002001', '866444022011', '668444220110']"
2.0,"['866444011011', '666444111111', '668444110110', '686444100100', '866444000000', '666444000000', '666443002001', '666433022011', '666333222111', '666333222111', '668333220110']"
2.0,"['766333011011', '666334111111', '666344110110', '666444100100', '666444000000', '666444000000', '666444000000', '666444002001', '666443022012', '666433223121', '666333233211', '668333330110']"
3.0,"['866333011011', '666333111111', '666334110110', '666344100100', '667443000000', '676433000000', '766334000000', '666344000000', '666443000000', '668433000000', '686334002001', '868344022011', '686444222113', '868444223132']"
2.0,"['866444011011', '666444111111', '668443110110', '686433102101', '866333022011', '666334220110', '666344200100', '666444000000', '668444000000']"
0.0,"['866444011011', '668443110110', '686433102101', '866333022011', '666334223111', '666343233111', '668433330110']"
2.0,"['866444001001', '668444011011', '686444111111', '868444110110', '686444100100', '866444002001', '666444022011', '666444220110', '666443203101', '666433033011', '666333333111', '666333333111', '668333330110']"
3.0,"['766344110110', '666443100100', '667433000000', '676334000000', '766344000000', '666443002001', '666433022011', '668333220110']"
3.0,"['866444011013', '666443112132', '666434122321', '668343220210']"
2.0,"['866444011023', '666444112232', '666444122321', '668444220210']"
3.0,"['866333001001', '666334011011', '666344110110', '668444100100']"
2.0,"['866444000000', '666444000000', '668444000000', '686444001001', '868444011011', '686444111111', '866444110110', '668444100100']"
0.0,"['866444011011', '667443112111', '676433122112', '767333223121', '676333233211', '767333330110', '676333300100', '766334000000', '666344000000', '666444000000', '666444000000', '666444000000', '667443004001', '676433044011', '768333440110']"
2.0,"['866333011011', '666333111111', '666333111111', '666334112111', '668343122111', '686433222112', '866333223121', '666333233211', '668333330110', '686334304101', '866344044011', '668444440110', '686444405101', '866444055011', '668444550110']"
2.0,"['866444011011', '666444111111', '668444110110', '686444102101', '866444022011', '668443220110', '686433203101', '866333033011', '666333333112', '668333334121', '686334344211', '866343445111', '666433455111', '666333555111', '666333555111', '668333550110']"
1.0,"['866333011012', '666333111122', '666333112222', '666333122221', '666333223211', '666333233111', '666333333112', '666333334121', '666333340210', '666333400100', '666333000000', '668333000000']"
2.0,"['866444011011', '666444111111', '668444110110', '686444102101', '866444022011', '668444220110', '686444203101', '868444033011', '686444333111', '866444330110', '668444300100']"
2.0,"['866444011011', '666444111111', '668444110110', '686444102101', '866444022011', '668444220110', '686444203101', '866444033011', '666444333111', '668444330110']"
0.0,"['866444011011', '668443110110', '686433100100', '866334002002', '666343022021', '668433220210']"
0.0,"['766333011011', '666334111111', '666344110110', '666444100100', '666443000000', '666433000000', '666334000000', '666344002002', '666444022022', '666443222221', '668433220210']"
2.0,"['766333011011', '666334111111', '666344110110', '666444100100', '666443000000', '666433000000', '666334000000', '668344000000']"
2.0,"['766333111111', '666334111111', '666344110110', '666444100100', '666443000000', '666433000000', '666334000000', '666344002002', '666444022022', '666443220220', '668433200200', '686334003001', '866344033011', '668444330110']"
2.0,"['866443011012', '666434111122', '666344110220', '668444100200']"
1.0,"['866333011011', '666333111111', '666333111111', '666333110110', '666333100100', '666333000000', '668333000000', '686334002001', '866344022011', '666444222111', '668443220110', '686433203101', '866333033011', '666333333111', '666333333111', '666333330110', '668333300100']"
3.0,"['866444001001', '668444011011', '686444111111', '868444110110', '686444100100', '866444002001', '668443022011']"
1.0,"['866444011011', '668444110110', '686444102101', '866444022011', '666444222111', '666444222112', '666444223122', '666444233222', '666444333222', '666444334221', '666444344211', '668443440110', '686433400100', '868333000000']"
1.0,"['866444011011', '668444110110', '686444100100', '866444000000', '666443000000', '668433000000']"
1.0,"['866444011011', '668444110110', '686444100100', '866444000000', '666444000000', '668443000000', '686433000000', '868333000000']"
3.0,"['866444011022', '668444110220']"
0.0,"['767343112122', '676433122221', '768333220210']"
2.0,"['866444011022', '666444111221', '668444110210', '686444102101', '866444022011', '666444222111', '668444220110']"
1.0,"['866444011022', '668443111221', '686433111211', '866334111111', '666344110110', '666443100100', '668433000000']"
2.0,"['866333011012', '666333112121', '668333120210', '686334203101', '866344033011', '666444333111', '666444333111', '668444330110']"
2.0,"['866333000000', '666333000000', '666334000000', '666344000000', '666444000000', '666444000000', '666444000000', '666444000000', '666443001001', '666433011011', '666333111111', '666333111111', '668333110110']"
1.0,"['866333011011', '666333111111', '666333111111', '666334110110', '666344100100', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666443000000', '668433000000']"
1.0,"['866444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666443000000', '666433000000', '666333000000', '668333000000']"
5.0,"['866334001001', '666344010010', '667444100100']"
1.0,"['866334011011', '666343111111', '666433111111', '666334110110', '666344100100', '666443000000', '667433000000', '676334000000', '766343000000', '667433000000', '676334000000', '766343000000', '667433000000', '676334000000', '766343000000', '668433000000']"
2.0,"['866444001001', '668444011011', '686444111111', '868444110110', '686444100100', '866444002001', '668444022011', '686444222111', '868444220110', '686444203101', '866444033011', '666444333112', '668444330120']"
3.0,"['866444001001', '666443011011', '666433112111', '668333122111']"
3.0,"['867333011011', '676334111111', '766344110110', '666444100100', '666443000000', '667433000000', '676334000000', '766343002001', '666433022011', '666333222112', '668333223121']"
4.0,"['866444011011', '666444111112', '667444112121']"
2.0,"['866333011011', '666333111111', '666334110110', '666343100100', '666434000000', '666344000000', '666444000000', '666444000000', '666443002001', '666433022011', '666333222111', '666333222111', '668333220110']"
2.0,"['866444011011', '668444110110', '686444102101', '866444022011', '666444222112', '666444222122', '666444223222', '666444233221', '668444330210']"
4.0,"['766344000000', '666444000000', '666443001001', '667433011011']"
4.0,"['866444011012', '666444111122', '666444112222', '666444122221', '666444222211', '666443222112', '666433223121', '666333233211', '667333330110', '678333300100', '786334000000', '866343000000', '667433000000', '676334000000', '766344000000', '666443004001', '667433044011']"
1.0,"['866333011011', '666333111111', '666333112111', '668333122111', '686333222112', '866333223121', '666334234211', '668344344111', '686444444111', '866444440110', '668443400100', '686433000000', '866334000000', '666344000000', '666444000000', '666443000000', '668433000000']"
1.0,"['767333000000', '676333001001', '766333011011', '666333110110', '666333100100', '666334002001', '666344022011', '666443220110', '668433200100']"
1.0,"['866444000000', '666444000000', '667443000000', '676433000000', '767333000000', '676333001001', '766333011011', '666333110110', '668333100100']"
0.0,"['866334000000', '667343000000', '676433000000', '766334000000', '666344000000', '6616444000000', '6166444001002', '1666443011023', '668433112231', '686333122311', '868333220110']"
5.0,"['866334000000', '667344000000', '676444000000', '767444000000']"
3.0,"['766334112121', '667343122211', '676433220110', '767333200100', '676334000000', '766344000000', '666444000000', '666443000000', '667433000000', '676334000000', '766344000000', '666443003001', '666433033011', '666333333111', '666333333111', '668333330110']"
0.0,"['866443001001', '666433011011', '666333111111', '666334110110', '666343102101', '666433022011', '666334222112', '666343223121', '668433230210']"
2.0,"['866444011011', '668444111111', '686444111111', '868443110110', '686433102101', '866333022011', '666334220110', '668343200100', '686433000000', '866334003001', '668344030010']"
0.0,"['766334111112', '667343111122', '676433111221', '766334111211', '666344111111', '668443111111', '686433111111', '868333110110']"
0.0,"['766343011011', '667433111112', '676334111122', '766343111221', '668433110210']"
1.0,"['866444011011', '666444111112', '666444111122', '666444112222', '666444122222', '666444222222', '666444222222', '666444223221', '666444230210', '666444300100', '666444000000', '666443000000', '667433000000', '676333004001', '766333044011', '666333444111', '666333444111', '666333440110', '668333400100']"
1.0,"['866444000000', '668443000000', '686433000000', '866334001001', '667343011011', '676433110110', '768333100100']"
2.0,"['866333011011', '666333111111', '666333111111', '666333112111', '666333122111', '666333223111', '666333233112', '666334334121', '666343344211', '666433445111', '666333455111', '666333555111', '668333550110']"
5.0,"['866333011011', '668333110110', '686334102101', '866344020010', '667444200100']"
1.0,"['776333000000', '766333000000', '666333000000', '668333000000']"
1.0,"['866334000000', '666344000000', '666444000000', '666444000000', '666444000000', '667443001001', '676433011011', '766333111112', '666333112121', '666334122211', '668343220110', '686433200100', '868333000000']"
6.0,"['866334000000', '667343000000', '676433000000', '766334001001', '667344010010', '6716444100100', '7168443000000']"
1.0,"['766334001001', '667343011011', '676433110110', '766334100100', '667343000000', '676433000000', '766334000000', '667343000000', '676433000000', '766334000000', '666344000000', '666443002001', '666433022011', '666333222111', '666333222111', '668333220110', '686333200100', '868333000000']"
1.0,"['866444011011', '666443112111', '666433122112', '668333223121', '686334233211', '866343334111', '666433344111', '666333444111', '666333444111', '668333440110', '686333400100', '868333000000']"
1.0,"['866444011011', '666444111111', '666443112111', '666433122112', '668333223121', '686334233211', '866343334111', '666433344111', '666333444111', '666333444111', '668333440110', '686333400100', '868333000000']"
0.0,"['876444000000', '766444001001', '666443011011', '668433110110']"
4.0,"['766344011012', '667443111122', '676433112221', '766333122211', '666334220110', '6616344200100', '6166443003001', '1667433033011', '677333333111']"
1.0,"['767333011011', '676333111111', '766333110110', '666333100100', '667333000000', '676334002001', '766344022012', '667443222122', '676433223221', '766333230210', '668333300100']"
2.0,"['866444011011', '668444111111', '686444111111', '868444110110', '686444102101', '866444022011', '666444222111', '666444220110', '668443200100', '686433000000', '866333000000', '666333000000', '666333003001', '666333033011', '666333333111', '668333330110']"
2.0,"['866333011011', '666333111111', '666334110110', '666344100100', '668444000000', '686444002001', '866444022011', '666444222111', '668444220110', '686444203101', '866444033011', '668444330110']"
4.0,"['766334111111', '666344110110', '666444100100', '666443000000', '667433000000', '676334000000', '766344000000', '667443002001', '676433022011', '767333222111']"
1.0,"['866333011011', '666333111111', '666333110110', '668333100100', '686334000000', '866344002001', '666444022011', '666444222111', '666444220110', '668443200100', '686433000000', '868333000000']"
3.0,"['866444011022', '668444111222', '686444111222', '868443110220']"
1.0,"['766333111111', '666334110110', '666344100100', '667443000000', '676433000000', '766334000000', '666344000000', '666444000000', '667443000000', '676433000000', '768333000000']"
1.0,"['866333011011', '666333111111', '666334112111', '666344122111', '668444220110', '686444203101', '866444033011', '666444333111', '668443330110', '686433300100', '868333000000']"
1.0,"['766344000000', '666444000000', '666444000000', '667443000000', '676434000000', '766344000000', '666444000000', '667443000000', '676433000000', '768333000000']"
1.0,"['866333011011', '666333111111', '666333111111', '666333110110', '666333100100', '666333000000', '667333000000', '676334000000', '766344000000', '666444000000', '666444000000', '667443000000', '676433000000', '768333000000']"
0.0,"['866443001001', '666433011011', '666333111111', '666334110110', '666343102101', '666433022011', '666334222112', '666344222123', '666443223232', '668433230320']"
2.0,"['7616344111111', '61616444111111', '16166444111111', '1666444111113', '666443112131', '668433120310']"
2.0,"['866444011022', '666444111222', '668443111221', '686433111212', '866333111123', '666333112232', '666333122321', '666334222212', '666343223121', '666433233211', '666334330110', '666343304101', '666433044011', '666333444111', '666334440110', '668344400100']"
0.0,"['866333011011', '666333111111', '666334112112', '6616344122121', '61616444222211', '16166444222111', '1666444222111', '666444222111', '666444222111', '666443222111', '666434222111', '666343222111', '668433220110']"
2.0,"['866444011011', '668444110110', '686444100100', '866444002001', '668444022011', '686444222111', '868444220110', '686444203101', '866444033011', '668444330110']"
1.0,"['866444011011', '666444111111', '668444110110', '686444102101', '868444022011', '686444222111', '866444220110', '668444200100', '686444003001', '868444033011', '686444333111', '866444330110', '668443300100', '686433000000', '868333000000']"
2.0,"['866444001001', '668444010010', '686444102101', '868444022011', '686444222111', '866444220110', '668444200100', '686444003001', '866444033011', '668444330110']"
2.0,"['866444011011', '668444111111', '686444111111', '866444110110', '668444100100', '686444002001', '866444022011', '668444220110']"
2.0,"['866444001002', '666444011022', '666444112221', '668444120210', '686444203101', '868444033011', '686444333111', '866444330110', '668444300100']"
3.0,"['866444011011', '666444111111', '668444110110', '686444102101', '866444022012', '666444223122', '668444233221']"
2.0,"['866444001002', '666444011022', '666444111222', '668444110220']"
1.0,"['866444000000', '666443000000', '666433000000', '668333000000']"
3.0,"['866333011011', '666333110110', '666333100100', '666333000000', '666333002001', '666333022011', '668333220110']"
2.0,"['866444000000', '666444000000', '666444000000', '666444000000', '666443001001', '666433011011', '668333110110']"
2.0,"['766444000000', '666443001001', '666433011011', '666333111111', '666334110110', '666344100100', '666444000000', '666443000000', '666433000000', '666334000000', '668344000000']"
2.0,"['866443000000', '666433000000', '666334000000', '666344000000', '666444000000', '666443001001', '666433011011', '666333111111', '666334110110', '666344100100', '666444000000', '666444000000', '666444000000', '668444000000']"
5.0,"['868444000000', '686444001001', '866444011011', '667444110110']"
2.0,"['866444011011', '666444111111', '666443111111', '666434111111', '666344111111', '666444111111', '668444110110']"
1.0,"['866444011011', '666444111111', '668443110110', '686433102101', '866333022011', '666333222111', '666333222111', '666334220110', '666344200100', '666443000000', '666434000000', '666344000000', '666443000000', '668433000000']"
2.0,"['866444000000', '666444001001', '666444011012', '666444112121', '668444120210']"
4.0,"['866333011011', '666334112111', '667344122112']"
2.0,"['866333011011', '666333111111', '666334110110', '666344100100', '666444000000', '666444000000', '666444000000', '668444000000', '686444002001', '866444022011', '668444220110']"
2.0,"['866444011011', '668444111111', '686444111111', '868444110110', '686444100100', '866444000000', '666444000000', '666444000000', '666444000000', '666443002001', '666433022011', '666333222111', '668333220110']"
1.0,"['866333011011', '666333111111', '666333111111', '666334110110', '666344100100', '668443000000', '686433000000', '866334000000', '666344002001', '666443022011', '666433220110', '668333200100']"
2.0,"['866333011011', '666333111111', '666334110110', '666344100100', '668443000000', '686433000000', '866334000000', '666344002001', '666443022011', '666434222111', '668344220110', '686444203101', '868444033011', '686444333111', '866444330110', '668444300100']"
2.0,"['866444011011', '666444111111', '668444110110', '686444102101', '866444022011', '666444222111', '666444220110', '668444200100']"
3.0,"['866444001001', '666444011011', '666444111111', '668444110110', '686444102101', '866444022011', '668444222111']"
2.0,"['866444011011', '668444110110', '686444102101', '866444022011', '668444220110', '686444200100', '866444003001', '666444033011', '666443334111', '666433344111', '666333444111', '666333444111', '668333440110']"
2.0,"['866444011012', '666444112121', '668444120210', '686444203101', '866444033011', '666444333111', '668444330110']"
2.0,"['866444011011', '666444110110', '668444100100', '686444002001', '866444022011', '666444222111', '668444220110']"
5.0,"['866333011012', '666334112123', '666344122234', '666443223341', '666433230410', '666334300100', '666344000000', '666444000000', '667444000000']"
3.0,"['766444000000', '666444000000', '666443000000', '666433001001', '668333011011']"
2.0,"['866333011011', '668333110110', '686333100100', '866333002001', '666333022011', '668333220110']"
4.0,"['766344000000', '666444000000', '666444000000', '666444000000', '666443001001', '667433011011']"
2.0,"['866444011011', '668444110110', '686444100100', '866443002001', '666434022012', '666344222122', '666444223221', '666444230210', '668444300100']"
3.0,"['866444011011', '666444111111', '668444110110', '686444100100', '866444002001', '668444022011']"
2.0,"['866333011011', '666333111111', '666334112111', '668343122111', '686433222112', '866333223121', '666333233211', '668333330110', '686334304101', '868344044011', '686444444111', '866444440110', '668444400100', '686444005001', '866444055011', '666444555111', '666444555111', '668444550110']"
2.0,"['866444011011', '668444111111', '686444111111', '868444110110', '686444100100', '866444002001', '666444022011', '666444222111', '668444220110']"
3.0,"['866444000000', '666444000000', '666444000000', '666444000000', '666444000000', '666444001001', '666443011012', '666433111122', '666333112221', '668333120210']"
2.0,"['866444011021', '666444110210', '666444100100', '666444000000', '666444002001', '666444022011', '668444220110']"
2.0,"['866333011011', '666333111111', '666334112111', '666344122111', '666444222111', '666443223111', '666433233111', '666333333111', '666333333112', '668333334121', '686334344211', '866343445111', '666433455111', '666333555111', '668333550110']"
2.0,"['866444001001', '666444011011', '666444111111', '668444110110', '686444102101', '866444022011', '666444222111', '668443220110', '686433203101', '866333033011', '666333333111', '666333330110', '666333300100', '666334000000', '668344000000']"
3.0,"['866443000000', '666433000000', '666333001001', '666333011011', '668333110110']"
2.0,"['866444011022', '666444111222', '666444112222', '666444122222', '668444220220']"
1.0,"['866444011012', '666444112121', '666444120210', '667444203101', '676444033011', '766444333111', '666444333111', '666443330110', '668433300100']"
2.0,"['866333011011', '666333111111', '666333112111', '668333122111', '686333222112', '866333223121', '666333233211', '668333330110', '686334304101', '866344044011', '668444440110', '686444405101', '866444055011', '666444555111', '668444550110']"
5.0,"['866333001001', '666334011011', '666344111111', '666444110110', '666444100100', '666443002001', '666433022011', '666333222111', '666334220110', '666344200100', '667444000000']"
2.0,"['866444000000', '666444001002', '666444011022', '666444111221', '666444111211', '668444110110']"
5.0,"['866334000000', '666344000000', '666444000000', '666444000000', '667443000000']"
1.0,"['767333000000', '676334000000', '766344000000', '666444000000', '666444000000', '667443000000', '676433000000', '766333001001', '667333011012', '676334111122', '766344112221', '667443120210', '676433200100', '768333000000']"
3.0,"['866444011011', '666444111111', '668444110110', '686444100100', '866444002001', '668444022011', '686444222111', '868443220110', '686433203101', '866333033011', '666333333112', '668333334121', '686334344211', '866343445111', '666433455111', '666333555111', '666333555111', '668333550110']"
2.0,"['868444011011', '686444111111', '866444110110', '668443100100', '686433002001', '866333022011', '666333222111', '666333222111', '666334223111', '668343233111', '686433333112', '866333334121', '666333344211', '668333440110', '686334405101', '868344055011', '686444555111', '866444550110', '668444500100', '686444006001', '866444066011', '668444660110']"
2.0,"['866444011011', '668444111111', '686444111111', '868443110110', '686433102101', '866333022011', '666333222112', '668333223121', '686334233211', '866343334111', '666433344111', '666333444111', '666333444111', '668333440110', '686334400100', '866344005001', '668444055011', '686444555111', '868444550110']"
2.0,"['866333011011', '666333111111', '666333111111', '666334110110', '666344100100', '667443002001', '676433022011', '766334222111', '666344220110', '666443203101', '666433033011', '666333333111', '668333330110']"
2.0,"['866333011011', '666333111111', '666333112111', '666333122111', '668333220110', '686334203101', '868344033011', '686444333111', '866444330110', '668444300100', '686444004001', '866444044011', '668444440110']"
1.0,"['866333011011', '666333111111', '666333111111', '666333110110', '666333100100', '666333000000', '666333002001', '666333022011', '666333222111', '666334220110', '666343200100', '666433000000', '666334000000', '668343000000', '686433000000', '868333000000']"
1.0,"['866333011011', '666333111111', '666333111111', '666333110110', '666333100100', '666333000000', '668333000000', '686334000000', '866343000000', '666433000000', '666334000000', '666343002001', '666433022011', '666333222111', '666333220110', '668333200100']"
2.0,"['866444011011', '666444111111', '668444110110', '686444100100', '866444002001', '668444022011', '686444222111', '868444220110', '686444203101', '866444033011', '668444330110']"
