FunctionalGroup,PathFeature
4,"['666334100100', '666344002001', '666444022011', '666443220110', '668433200100', '686334000000', '866343003001']"
9,"['666333110210', '667333100100', '677333000000', '776333000000', '766333002001', '667333022011', '676333222111', '766333220110', '667333200100', '677333000000', '776333000000', '766333003001', '666333033012']"
3,"['666333122111', '667333220110', '676333200100', '767333000000', '676333003001', '766333033011', '666333334111']"
3,"['667333122111', '676333222111', '766333222111', '667333220110', '676333200100', '767333000000', '676333003001', '766333033011', '667333333111', '676333333111', '766333334111']"
9,"['676333111211', '766333110110', '667333100100', '676334000000', '766344000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443000000', '676433000000', '766333002001', '667333022011', '676333222112']"
9,"['667333100100', '676334000000', '766344000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443000000', '676433000000', '766333002001', '667333022011', '676333222112']"
6,"['686333102102', '866333022022', '667333222221', '676333222212']"
4,"['666334100100', '6616344000000', '6166443002001', '1667433022011', '676333222111', '766333223111']"
6,"['668344100100', '686444002001', '866444022011', '666444223111', '667443234111', '677433344111', '776333444112']"
4,"['666334100100', '666344002001', '666444022011', '666444222111', '666444220110', '666443203101']"
4,"['666334102101', '666344022012', '666443223121', '667433233211', '676334330110', '766343304101']"
4,"['666334100100', '666344000000', '666443002001', '666433022011', '666333223111']"
4,"['666334100100', '666344002001', '666444022011', '6616445222111', '6166453223111']"
4,"['666334102101', '666344022012', '666443223121', '667433233211', '6716334330110', '7166343304101']"
8,"['667333102101', '676334022011', '766344222111', '666444222111', '666444220110', '667443200100', '676433000000', '766333003001']"
6,"['686333102101', '866333022011', '6615335220110', '6156353203101']"
6,"['668344100100', '687443002001', '876434022012', '766343223122']"
4,"['6166344102102', '1666443022021', '666434222212', '666343223121', '666433233212', '666333334121', '668333340210', '686334400100', '866343005001']"
4,"['666333111211', '666333110110', '666334100100', '667343002001', '676433022011', '766333222111', '666334220110', '668343200100', '686433003001']"
6,"['668343100100', '686433002001', '867333022011', '677333222111', '776334220110', '766343203101']"
6,"['666333122111', '668333220110', '686334200100', '866343000000', '667433000000', '676334000000', '766343003001']"
6,"['6148344100100', '1486444000000', '866444000000', '6616444000000', '6166443002001']"
4,"['666333100100', '666333000000', '666334000000', '666343000000', '666433000000', '666333000000', '666333002001']"
9,"['676333100100', '766334000000', '667344002001', '676444022011', '766443222112']"
7,"['667333111211', '676334110110', '766344100100', '666444000000', '667443000000', '676433000000', '766333002001']"
9,"['666343100100', '667433000000', '676334000000', '766343002001']"
5,"['686333100100', '866334000000', '666344000000', '666444002001', '666444022011', '666443222112']"
6,"['668344100100', '686444000000', '866444002001', '666443023011']"
6,"['666334110210', '668344100100', '686444002002', '866444022022', '666444222223', '666444223233', '666443233333', '666433334331', '666333344313', '666334445133', '666344455333', '666444556332', '666444566322', '668444660220', '686444600200', '866443007001', '666433077012', '666333777123', '666333778233']"
6,"['666334110210', '668344100100', '686444002002', '866444022022', '666444222223', '666444223233', '666443233333', '666433334331', '666333344313', '666334445133', '666344455333', '666444556332', '666444566322', '668444660220', '686444600200', '866443007001', '666433077012']"
6,"['666334110210', '668344100100', '686444002002', '866444022022', '666444222223', '666444223233', '666443233333', '666433334331', '666333344313', '666334445133', '666344455333', '666444556332', '666444566322', '668444660220', '686444600200', '866443007001', '666433077012', '666333777123']"
6,"['666333111321', '666334110210', '668344100100', '686444002002', '866444022022', '666444222223', '666444223233', '666443233333', '666433334331', '666333344313', '666334445133', '666344455333', '666444556332', '666444566322', '668444660220', '686444600200', '866443007001', '666433077012', '666333777123', '666333778233']"
6,"['668344100100', '686444002002', '866444022022', '666444222223', '666444223233', '666443233333', '666433334331', '666333344313', '666334445133', '666344455333', '666444556332', '666444566322', '668444660220', '686444600200', '866443007001', '666433077012', '666333777123', '666333778233']"
6,"['668344100100', '686444002001', '866444022011', '667443223111', '676433233111', '766333333112']"
6,"['667343100100', '676433000000', '766334000000', '668343000000', '686433002001', '866333022011', '666334223111', '666343233112', '667433333122', '676333333222', '766334333221', '666343333212']"
9,"['666333111211', '666334110110', '666343100100', '667433000000', '677333000000', '776333000000', '766333002001']"
9,"['666333122111', '666333222111', '666333220110', '667333200100', '676334000000', '766344000000', '667443000000', '676433000000', '766333003001', '666333033011', '666333333111', '666333334111']"
5,"['668333100100', '686333000000', '866332000000', '666323000000', '668233000000', '686334000000', '866343000000', '666433000000', '668333000000', '686333000000', '866333002001']"
6,"['686333100100', '866333002001', '667333022011', '676333223111']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443002001']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443002001', '676433022012']"
6,"['686334100100', '866343000000', '667433002001', '676334022011', '766344222111', '667443222111', '676433223111']"
6,"['666333111321', '668333110210', '686333102101', '866333022011', '666333223111']"
6,"['666333111211', '668333110110', '686333102101', '866333022011', '666333223111']"
4,"['666334102101', '666344022011', '668444220110', '686444200100', '866443003001']"
6,"['668344100100', '686444000000', '866444000000', '666444000000', '666444000000', '666444002002', '667443022021', '676433220210', '766333203101']"
3,"['676333100100', '767333000000', '676334000000', '766344000000', '668444000000', '686444000000', '866444000000', '668443000000', '686433002001', '866333022012']"
5,"['668333100100', '686334000000', '866344000000', '666444002001', '668444022011', '686444222111', '868443220110', '686433203101', '866333033011', '666333333112', '668333334121', '686334344212', '866343445121']"
4,"['666333100100', '666334000000', '666344000000', '666443000000', '666433002001']"
6,"['6168353100100', '1686533002001', '866333022011', '666333220110', '667333200100', '676333003001']"
6,"['668344100100', '686444000000', '866443000000', '666433000000', '666333002001']"
7,"['667333111211', '6716334110110', '7166344100100', '1666444000000', '666443002001']"
6,"['668344120110', '686444200100', '866443003001']"
6,"['676333100100', '766334000000', '668343000000', '686433002002', '866333022022', '666334222221', '666343222212', '666433222122', '666333222222', '666334222221', '666343222212', '666433222122', '668333220220', '686334200200', '866343000000', '667433000000', '676333003001']"
4,"['666334102101', '667343022011', '676433222112']"
7,"['666343112221', '667433122211', '676334220110', '766343203101']"
5,"['666343110210', '668433100100', '686334000000', '866343002001']"
9,"['667343100100', '676433000000', '766334000000', '666343002001', '666433022012']"
5,"['668333100100', '686334000000', '866344002001', '668444022011', '686444222111', '8616444220110', '6166443203101']"
6,"['686334100100', '866343002001', '666433022011', '666333222111', '668333220110', '686334200100', '866343003001']"
6,"['686334100100', '866344000000', '668444000000', '686444000000', '866444000000', '668444000000', '686444000000', '866444000000', '667443002001']"
5,"['668333100100', '686334002001', '866344022012', '666444222122', '668443220220', '686433200200', '866333003001']"
3,"['676333100100', '767333000000', '676333002001', '766333022012']"
8,"['766334100100', '666344002001', '666443022012']"
5,"['668333100100', '686334000000', '866344002001', '666444022011', '668443220110', '686433200100', '866333003001']"
9,"['666333122111', '667333222112', '676333223121', '766334230210', '666343300100', '667433000000', '677333004001', '776334044012', '766344445121', '666444455211', '666444555111', '666443556111']"
6,"['6148343100100', '1486433000000', '866333002001', '666334022011', '667343222111', '676434222111', '766343222111', '666433220110', '668333200100', '6814334000000', '8146343003001']"
9,"['667333100100', '676334000000', '766344000000', '667443000000', '676433002001']"
9,"['667333100100', '676334000000', '766344002001', '666444022011', '667443222111', '676433222111', '766333223111']"
4,"['666334100100', '666344002001', '666444022012', '666444223121', '666443233212']"
3,"['666333110210', '667333100100', '677333000000', '776333000000', '767333000000', '677333000000', '776333000000', '766333002001', '666333022012']"
5,"['668333100100', '686334002001', '866344022011', '666444220110', '666444200100', '668444000000', '686444000000', '866443003001']"
0,"['668343100100', '686433000000', '867333000000', '677333000000', '776333000000', '768333000000', '686334000000', '866343002001']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '667443002001', '676433022011', '766333222112']"
9,"['667333100100', '676333002001', '766333022011', '666333222111', '666333222111', '666334220110', '666344200100', '666443003001', '666433033011', '666333333111', '666333333111', '667333330110', '676333300100', '766333004001']"
6,"['686333102101', '866333022011', '667333220110', '6716334200100', '7166343003001']"
6,"['768344122111', '686444222111', '866444220110', '668444200100', '6816445000000', '8166453003001']"
6,"['6168354100100', '1686544000000', '866444002001', '668444022011', '686444222111', '867443223111', '676433233112']"
3,"['676333100100', '767333000000', '676333002001', '766333022011', '666332220110', '666322200100', '666223003001', '667233033011', '676333333111', '766332330110', '666322300100', '666223004001']"
6,"['685333111211', '858333110110', '586333102101', '866333022011', '666333223111']"
4,"['666334111211', '666344110110', '666443102101', '666433022011', '666333222112']"
8,"['667343111211', '676433110110', '766334100100', '666344000000', '666443002001']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '668443000000', '686433000000', '866333002001']"
9,"['667344111222', '676444112221', '766443120210', '667433200100', '676334000000', '766344000000', '666443003001']"
4,"['666334102102', '666344022023', '666443223231']"
0,"['667343122111', '676433220110', '768333200100', '686334000000', '866343003001']"
4,"['666334100100', '666344002001', '666443022011', '667433222111', '676334220110', '766343203101']"
5,"['666334110210', '668343100100', '686433000000', '866333002001', '666334022012', '666343223121', '667433233211', '676334330110', '766343304101']"
5,"['668343100100', '686433000000', '866333002001', '666334022012', '666343223121', '667433233211', '676334330110', '766343304101']"
6,"['6815335111212', '81516354110120', '15166543102201']"
9,"['666333111211', '666334110110', '666343100100', '667433000000', '676334000000', '766344000000', '666443002001', '666433022012']"
9,"['666343100100', '667433000000', '676334000000', '766344000000', '666443002001', '666433022012']"
9,"['666343100100', '667433000000', '676333002001']"
4,"['666334102101', '666343022011', '666433220110', '668333200100', '686334000000', '866343003001']"
6,"['676334110210', '768344100100', '686444000000', '866443000000', '666433000000', '666333002001']"
6,"['666343111212', '666433111122', '668333110220', '686334100200', '866343000000', '667433000000', '676334000000', '766343002001', '666433022012', '666333222123']"
6,"['666343111212', '666433111122', '668333110220', '686334100200', '866343000000', '667433000000', '676334000000', '766343002001', '666433022012']"
9,"['667333100100', '677333000000', '776333000000', '766334000000', '666343002001', '667433022012', '676333223121', '766333233211', '666333334111']"
9,"['667333100100', '676334000000', '766344000000', '667444002001', '676444022011', '766444222111', '667443222111', '676433223111']"
5,"['666334110210', '666343100100', '668433000000', '686334002001', '866343022011', '667433222111', '676333223111']"
6,"['686333102101', '866333022011', '667333220110', '677333200100', '776333000000', '767333000000', '677333000000', '776333003001']"
4,"['666333100100', '666333000000', '666333002001', '666333022012']"
4,"['666333100100', '666333000000', '666333002001', '666333022012', '666333222123']"
6,"['668343100100', '686433002001', '866333022012', '666334223121', '666343233212']"
6,"['6815334100100', '8156343000000', '1566433002001']"
4,"['666333100100', '666334000000', '667344000000', '6716444000000', '7166443002001']"
5,"['668333100100', '686333002001', '866333022011', '666333223111', '666333233111', '666333333111', '666333334111']"
6,"['668344100100', '6816445000000', '8166453002001']"
4,"['666333112211', '666333122111', '666333220110', '666333203101', '666333033011', '666333334111', '666333344112']"
4,"['666333122111', '666333220110', '666333203101', '666333033011', '666333334111', '666333344112']"
6,"['668343100100', '686433002001', '866333022011', '666333222111', '666333220110', '667333200100', '676333003001', '766333033011', '666333333111', '666333333111', '666333330110', '667333300100', '676333004001']"
6,"['6168353100100', '1686533002001', '866333022011', '667333220110', '677333200100', '776333003001']"
6,"['6148343100100', '1486433002001', '866333022011', '666334220110', '666343203101']"
4,"['666333100100', '666333000000', '666333000000', '666333002001']"
9,"['667343100100', '676433000000', '766334000000', '666344000000', '666443000000', '667433000000', '676334000000', '766343002001']"
5,"['668333100100', '686334000000', '866343002001', '667433022011', '676333222111', '766334220110', '668343200100', '686433000000', '866333003001']"
4,"['668333100100', '686334002001', '866344022011', '666443222111', '666434222111', '666344222111', '666444222111', '666443222111', '666433222111', '666334222111', '668343220110', '686433200100', '866333003001']"
6,"['6814334102101', '8148343020010', '1486433203101', '866333033012']"
6,"['6814334102101', '8148343020010', '1486433203101']"
5,"['668343100100', '686433000000', '866334000000', '666344000000', '666444000000', '666444000000', '666443000000', '668433000000', '686334000000', '866343002001']"
3,"['676333100100', '767333000000', '676333002001', '766333022011', '667333220110', '676333200100', '767333000000', '676333003001', '766333033011', '667333330110', '676333300100', '767333000000', '676333004001']"
8,"['667333102101', '676334022011', '766344220110', '666443200100', '667433000000', '676334000000', '766343003001']"
4,"['666333100100', '666333000000', '666334000000', '666343002001']"
4,"['666333100100', '667333000000', '677333000000', '776333002001']"
5,"['668333100100', '686334002001', '866344022012', '666444222122', '666444223221', '668443230210', '686433300100', '866333004001']"
9,"['676333100100', '766333000000', '666333000000', '667333000000', '6716334000000', '7166343002001']"
4,"['666334100100', '666344000000', '666443000000', '668433000000', '686334000000', '866343002001']"
4,"['666333111212', '666334112121', '6616343120210', '6166433200100', '1666333003001']"
6,"['6814334100100', '8148343000000', '1486433002001']"
6,"['666344100100', '668444000000', '686444000000', '866444000000', '666443002001']"
9,"['666333111211', '666333110110', '667333100100', '676333000000', '767333000000', '676333002001', '766333022011', '667333220110', '676333200100', '767333000000', '676333000000', '766333003001', '666333033011', '666333333112']"
3,"['676333100100', '767333000000', '676333002001', '766333022011', '666333222111', '666333222111', '666334220110', '666343203101', '666433033011', '666333333111', '666333333111', '667333330110', '676333300100', '767333000000', '676333004001', '766333044012']"
3,"['676333100100', '767333000000', '676333002001', '766333022011', '666333222111', '666333222111', '666334220110', '666343203101', '666433033011', '666333333111', '666333333111', '667333330110', '676333300100', '767333000000', '676333004001']"
6,"['6168354100100', '1686544000000', '866444000000', '666444000000', '666443002001']"
3,"['676333100100', '767333000000', '676333002001', '766333022011', '666333223111']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '668443000000', '686433002001', '866333022011', '666333223111']"
6,"['686334100100', '866343000000', '666434000000', '668343000000', '686433002001']"
5,"['686333100100', '866333002001', '666333022011', '668333220110', '6815334200100', '8158343000000', '1586433003001']"
9,"['667333100100', '677333000000', '776333000000', '766334000000', '667343002001', '677433022011', '776333222112', '766333223122']"
6,"['666333122111', '668333220110', '686334200100', '866343003001', '666433033011', '666334330110', '668343300100', '686433004001', '866333044011', '666333445111']"
6,"['686334100100', '866343002001', '666433022011', '666334220110', '668343200100', '686433003001', '866333033011', '666333333112']"
7,"['666344102101', '666443022011', '667433222111', '676334220110', '766343203101']"
4,"['666333111211', '666334110110', '667343100100', '676434000000', '766343002001']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '666444000000', '666444000000', '666444000000', '668443000000', '686433000000', '866333002001']"
6,"['686333100100', '866334000000', '6615344000000', '6156443002001']"
6,"['6168353100100', '1686533002001', '867333022011', '676333223111']"
4,"['666334100100', '668343000000', '686433000000', '866333002001']"
6,"['686334100100', '866343002001', '666433022011', '666334220110', '666343203101']"
6,"['6148344100100', '1486444002001', '866443022012']"
7,"['667333111211', '676334110110', '766344100100', '666443000000', '666432000000', '666323000000', '666233002001']"
6,"['668344100100', '686444000000', '867443002001', '676433022012']"
6,"['668333110210', '686334100100', '866344000000', '667443002001', '676433022012']"
6,"['686334100100', '866344000000', '667443002001', '676433022012']"
6,"['668333110210', '686334100100', '866344000000', '667443002001']"
7,"['666344111212', '666443112121', '667433122211', '6716334220110', '7166343203101']"
9,"['676333100100', '766334000000', '666344000000', '666444002001', '666443022012']"
6,"['686334100100', '866344000000', '666444000000', '666443000000', '667433000000', '677333000000', '776333000000', '766333002001']"
6,"['768344122111', '686444222111', '866444220110', '668444200100', '686444000000', '866443003001']"
4,"['666334100100', '666344002001', '667444022011', '676444222111', '766444220110', '666443200100', '666433003001']"
7,"['667333111211', '676334110110', '766344100100', '6616444000000', '6166443002001']"
9,"['667333100100', '677333000000', '776333002001', '767333022011', '676333222112']"
9,"['667333100100', '677333000000', '776333002001']"
3,"['676333100100', '767333000000', '676333002001', '766333022012', '667333223121', '676333233211', '766333330110', '667333300100', '676333004001']"
6,"['6158344100100', '1586444002001', '866444022012', '668444223121', '686444233211', '866443334111']"
6,"['6158344100100', '1586444002001', '866444022011', '667444220110', '6716444200100', '7166443003001']"
6,"['6148344100100', '1486444002001', '866443022011', '667433222111', '676333223111']"
9,"['666333111211', '666333110110', '667333100100', '676334000000', '766344000000', '667443000000', '676433000000', '766333002001', '666333022011', '666333222112']"
0,"['686333100100', '867333002001', '676334022011', '766344223111', '667443233111', '676433333111', '766333334111']"
3,"['676333100100', '767333000000', '676334000000', '766344000000', '666444000000', '666444000000', '667443000000', '676433000000', '767333000000', '676333002001', '766333022012']"
4,"['666334102101', '668344022011', '687444222112', '878444223121', '786444233211', '866443334111']"
5,"['666343100100', '668433000000', '686334002001', '866344022011', '668443220110', '686433200100', '866334000000', '666343003001']"
4,"['666333102101', '666334022011', '666344220110', '666443200100', '666433003001']"
5,"['668333100100', '686334000000', '866343002001', '666433022011', '667333220110', '676333200100', '766333003001']"
4,"['666334100100', '6616344000000', '6166444002001', '1666443022012']"
6,"['6168354100100', '1686544002003', '866444022032', '666443222322']"
3,"['676333100100', '767333000000', '676334002001', '766344022011', '667443220110', '676433200100', '767333000000', '676333003001']"
6,"['666333122111', '666333222111', '666333223111', '666333233111', '666333333111', '666333333111', '668333330110', '686334300100', '866343004001', '666433044012', '668333445121', '686333455212', '866333556121', '666334560210', '668343600100', '686433007001', '866333077011', '666333777111', '666333777111', '666333778111', '666333788111', '666333888111', '666333889111']"
6,"['666333122111', '666333222111', '666333222111', '668333220110', '686334200100', '866343003001', '666433033012', '668333334121', '686333344212', '866333445121', '666334450210', '668343500100', '686433006001', '866333066011', '666333666111', '666333666111', '666333667111']"
6,"['686334100100', '866343002001', '666433022012', '668333223121', '686333233212', '866333334121', '666334340210', '668343400100', '686433005001']"
0,"['668343100100', '686433000000', '867333000000', '676333002001', '766333022011', '666333222111', '666333222111', '666333220110', '667333200100', '676333003001', '766333033011', '666333333111', '666333333111', '666333330110', '667333300100', '676333004001']"
5,"['666343100100', '668433000000', '686334000000', '867343002001']"
9,"['667333100100', '677333000000', '776333000000', '766333000000', '667333000000', '677333000000', '776333000000', '766333002001']"
9,"['667333100100', '677333000000', '776333000000', '766333000000', '667333000000', '677333000000', '776333000000', '766333002001', '666333022012']"
0,"['668343100100', '686433000000', '867333000000', '676334000000', '766343000000', '667433000000', '676334000000', '766344000000', '666443002001']"
6,"['686334100100', '866344000000', '6616444000000', '61616444000000', '16166444000000', '1666444000000', '668443000000', '686433002001']"
4,"['666334100100', '668344000000', '686444000000', '866443002001']"
5,"['666333122111', '666333222111', '666333220110', '668333200100', '686333003001', '866333033011', '666333333112', '666333333122', '666334334221', '666343344212', '666433445121', '666333455211', '668333550110', '686333500100', '866333006001', '666333066011', '666333666111', '666333667111']"
4,"['666334111211', '667344111111', '676444110110', '766443102101']"
6,"['668343112221', '686433122211', '867333220110', '678333200100', '786334000000', '866343003001']"
0,"['668343100100', '686433000000', '867333000000', '676334000000', '766343000000', '666433000000', '666334000000', '666343000000', '667433000000', '676333002001', '766333022011', '666333222112']"
0,"['668343100100', '686433000000', '867333000000', '676334000000', '766343000000', '666433000000', '666334000000', '666343000000', '667433000000', '676333002001']"
4,"['666333100100', '667333000000', '676334000000', '766343002001']"
4,"['666333110210', '666333100100', '667333000000', '676334000000', '766343002001']"
6,"['766344100100', '668444000000', '686444000000', '866443002001', '666433022011', '666334220110', '668344200100', '686444000000', '866444000000', '667443003001']"
6,"['678333110210', '786334100100', '868343000000', '687433002001', '876333022012']"
6,"['6158344100100', '1586444002001', '866444022011', '668444220110', '6815444200100', '8156443003001']"
4,"['666333100100', '666333000000', '666333002001', '666333022011', '668333220110', '686333200100', '866333003001']"
5,"['666343110210', '668433100100', '686334000000', '866343002001', '666433022012']"
9,"['666343100100', '667433000000', '677333000000', '776333000000', '767333000000', '676333002001']"
9,"['676333100100', '766334000000', '666344000000', '666442000000', '666422000000', '666223002001']"
9,"['666344100100', '666443000000', '667433000000', '676333002001', '766333022011', '667333220110', '676334200100', '766343003001']"
6,"['686333100100', '866333000000', '666333000000', '666333000000', '668333000000', '686333002001']"
9,"['667344100100', '676444000000', '766443000000', '667433000000', '677333002001', '776334022012', '766343223122']"
5,"['668333100100', '686334000000', '866344002001', '668444022011', '686444222112', '866443223121']"
9,"['6166344100100', '1666443000000', '667433000000', '676334000000', '766343002001']"
6,"['686334102101', '866343022012', '666433223121', '666333234211']"
6,"['686333100100', '866333000000', '666333002001']"
6,"['686334100100', '866343002001', '666433022011', '666334220110', '668343200100', '686433003001']"
9,"['676333100100', '766334000000', '666344000000', '667443000000', '6715434000000', '7156343002001']"
6,"['668344100100', '686444000000', '866444000000', '666443002001']"
5,"['668333100100', '686334000000', '866344000000', '666444000000', '668444000000', '6816445000000', '8166453002001']"
6,"['6148343100100', '1486433002001', '866334022011', '666344222111', '666443223111']"
2,"['767333100100', '676333002001', '766333022011', '668333220110', '6814334200100', '8148343000000', '1486433003001']"
9,"['667333100100', '676333002001', '767333022011', '677333222111', '776333222111', '767333220110', '676334203101', '766344033011', '666444333111', '667443330110', '676433304101', '766333044011', '666333444111', '666333444111', '667333440110', '676333400100', '766333005001']"
3,"['676333100100', '767333000000', '676334000000', '766343002001', '666433022011', '666333222111', '666334220110', '667343200100', '676433000000', '767333000000', '676333003001']"
4,"['666333100100', '666333000000', '667333002001']"
4,"['666333100100', '666333000000', '667333002001', '676333022012']"
6,"['768344100100', '686444002001', '866444022011', '666443222112']"
6,"['6148344100100', '1486444000000', '866443002001']"
5,"['668333100100', '686334002001', '866344022011', '6614444220110', '6146443203101']"
9,"['666333111211', '666333110110', '667333100100', '676334000000', '766344000000', '666444000000', '666444000000', '666444000000', '666444000000', '667443000000', '676433000000', '766333002001', '666333022011', '666333222112']"
6,"['668344100100', '686444002001', '866443022012']"
6,"['686334100100', '866344000000', '666444000000', '6616444000000', '6166443002001']"
5,"['666343100100', '668433000000', '686334002001', '866344022011', '666444220110', '666443203101']"
6,"['686334111211', '866344110110', '668443100100', '686433002001']"
9,"['667333100100', '676334000000', '766344000000', '666444000000', '666444000000', '667443000000', '676433000000', '766333002001', '666333022012']"
6,"['6815335102101', '8158353020010', '1586533203101']"
6,"['668344100100', '686444000000', '866444000000', '668444000000', '6814444000000', '8146443002001']"
9,"['667333100100', '677333000000', '776333002001', '767333022011', '677333220110', '776333200100', '766333003001']"
5,"['668333100100', '686333002001', '866333022011', '666333223111', '666333233111', '666333334111']"
4,"['666334102101', '666344022011', '666444222111', '666443223111']"
5,"['666344100100', '666443000000', '668433000000', '686334000000', '866343002001']"
5,"['668333100100', '686334002001', '866343022012', '666434223122', '666344233223', '667443334232', '676433344321', '767333444211', '676333445111']"
5,"['666333122111', '667333222111', '676334220110', '766344200100', '668443000000', '686433000000', '866333003001', '666333033011', '666333333111', '666333333111', '666333330110', '668333300100', '686334000000', '866344000000', '667443004001', '676433044011', '766333444111', '666333445111']"
6,"['668344100100', '686444000000', '866444002001', '666444022011', '666444222111', '668444220110', '686444200100', '866443003001']"
8,"['667333102101', '676334022011', '766344222111', '666443223111']"
5,"['668333100100', '686334000000', '866344000000', '666444002001', '666444022011', '666443223111']"
5,"['668333100100', '686334000000', '866344000000', '666444002001', '666444022011', '666443223111', '666433233111', '666333333112']"
6,"['685333100100', '856333000000', '566333002001']"
6,"['686334100100', '866344000000', '666444000000', '666444000000', '667443000000', '676433000000', '767333000000', '676333002001']"
6,"['668344100100', '686444000000', '866444002001', '668444022011', '686444222111', '866444220110', '6615444200100', '6158443000000', '1586432000000', '866322000000', '666223003001']"
4,"['666334100100', '666343002001', '666433022011', '666333223111']"
6,"['6148344100100', '1486444000000', '866444002001', '668444022011', '686444222111', '867443223111']"
6,"['668343100100', '686433002001', '866333022011', '667333220110', '6716334200100', '7166343003001']"
9,"['676333100100', '766334000000', '666344000000', '666443002001']"
9,"['667333100100', '677333000000', '7716334000000', '7167344002001', '1676444022011', '767444222111', '676444220110', '766443203101']"
6,"['686333102101', '866333022011', '666333222111', '666333223111', '667333233111', '677333330110', '776333300100', '766333004001']"
6,"['666333122111', '666333222111', '668333220110', '686334200100', '866344000000', '668444000000', '686444000000', '866444000000', '668444000000', '686444000000', '866444000000', '668443000000', '686433003001', '866333033011', '666333333111', '666333334111']"
6,"['686334100100', '866344000000', '668444000000', '686444000000', '866444000000', '668444000000', '686444000000', '866444000000', '668443000000', '686433002001']"
6,"['686334100100', '866344002001', '666444022011', '667443222111', '676433223111']"
5,"['668333100100', '686334000000', '866344002001', '666443022011', '666433222111', '666333223111']"
9,"['667333100100', '676333000000', '767333000000', '676334002001', '766344022011', '667443220110', '676433200100', '767333000000', '676333000000', '766333003001']"
4,"['666333102101', '666333022011', '668333220110', '686334200100', '866343003001']"
9,"['667333100100', '676334000000', '766343000000', '667433000000', '677333000000', '776333000000', '767333000000', '676333002001']"
9,"['666343100100', '667433000000', '6715334000000', '7157344000000', '1576444000000', '766443002001']"
6,"['668344100100', '686444000000', '866444002001', '666444022012', '667443223121', '676433230210', '766333304101']"
9,"['667333100100', '676334000000', '766344000000', '666443002001']"
9,"['667333100100', '676333000000', '767333000000', '676334000000', '766344000000', '666444000000', '666444000000', '667443000000', '676433000000', '767333000000', '676333000000', '766333002001']"
9,"['666344100100', '667443000000', '676433000000', '766334000000', '6616344000000', '6166444000000', '1666443000000', '667433000000', '676334000000', '766344000000', '666443002001']"
6,"['676333100100', '766333002001', '666333022011', '666333222111', '666333222111', '668333220110', '686334200100', '866344000000', '666444000000', '668443000000', '686433003001', '866333033011', '666333333111', '666333333111', '666333330110', '667333300100', '676333004001']"
5,"['668343100100', '686433000000', '866334002001', '666343020010', '668433200100', '686334000000', '866343003001']"
9,"['667333100100', '676333000000', '766333002001']"
9,"['667333100100', '676333000000', '766333002001', '666333022012']"
9,"['676333100100', '766334000000', '666344002001', '666443023011', '666433233111', '667333333111', '676334330110', '766343304101']"
6,"['668344100100', '686444002001', '866444022011', '666444223111', '667444233111', '676444330110', '766443304101']"
4,"['6616334100100', '6166344000000', '1666444000000', '666444000000', '666444000000', '6616444000000', '6166443000000', '1666433002001']"
0,"['666344110210', '668443100100', '686433000000', '867333000000', '676334002001', '766344022011', '666444222111', '666444220110', '667443200100', '676433000000', '768333000000', '686334000000', '866344003001', '666443033012']"
9,"['667333100100', '676334000000', '766344000000', '667444000000', '676444000000', '766443002001']"
9,"['666333122111', '666333222111', '666333222111', '666333223111', '666333233111', '666333333111', '666333333111', '667333330110', '676333300100', '766333004001', '666333044011', '666333444111', '666333444111', '666333440110', '667333400100', '676333005001', '766333055011', '666333555111', '666333555111', '666333556111', '666333566111', '666333666111', '666333666111', '666333667111']"
9,"['666333122111', '666333222111', '666333222111', '667333220110', '676333200100', '766333003001', '666333033011', '666333333111', '666333333111', '666333330110', '667333300100', '676333004001', '766333044011', '666333444111', '666333444111', '666333445111']"
9,"['667333100100', '677333000000', '776333000000', '766334000000', '666343000000', '667433000000', '676333002001']"
6,"['668343100100', '686433002001', '866333022011', '666333222112', '666334223121', '666343233212']"
6,"['686334111211', '866343110110', '666433100100', '666333002001']"
6,"['6168353100100', '1686533002001', '866333022011', '666333220110', '667333200100', '677333000000', '776333003001']"
6,"['6158353100100', '1586533002001', '866333022011', '666334220110', '666343203101']"
6,"['6158353100100', '1586533002001', '866333022011', '666334220110', '666343203101', '666433033012']"
4,"['666334111212', '668344112121', '687444122212', '876444223121', '766444230210', '6634444300100', '6346443004001']"
5,"['668333100100', '686334000000', '866343002001', '666433022011', '666334220110', '666344200100', '668444000000', '686444000000', '866443003001']"
5,"['668333100100', '686334000000', '866344002001', '666444022011', '666444220110', '666444200100', '668444000000', '686444000000', '866443003001']"
2,"['676333100100', '767333002001', '676333022011', '766333223111']"
9,"['676333100100', '766333002001', '666333022011', '666333223111']"
6,"['668344100100', '686444000000', '866444002002', '668443022021', '686433222211', '866333223111', '666333233112']"
3,"['676333100100', '767333000000', '676334002001', '767343022011', '676433223111']"
9,"['667333100100', '677333000000', '776333000000', '767333000000', '676333002001']"
